State,Jurisdiction,FIPSCode,QD1a,QD1_Comment,QD2a,QD2b,QD2c,QD2d,QD2_Other,QD2e,QD2f,QD2g,QD2_Total,QD2g_Other,QD2_Comment,QD3a,QD3_Comment,QD4a,QD4b,QD4c,QD4d,QD4e,QD4f,QD4_Total,QD4_Comment,QD5,QD5_Comment
AR,BENTON COUNTY,500700000,57,,63,57,0,,,6,0,,63,,,456,,-999999,7,49,56,209,135,456,,Neither difficult nor easy,
AR,CLEBURNE COUNTY,502300000,35,,26,25,0,,,1,0,,26,,,145,,-999999,4,4,23,53,61,145,,Somewhat difficult,
AR,CONWAY COUNTY,502900000,31,,25,24,0,,,1,0,,25,,,105,,-999999,1,5,27,30,42,105,,Somewhat difficult,
AR,MADISON COUNTY,508700000,20,,21,20,0,,,0,1,,21,,,80,,-999999,-999999,6,22,27,25,80,,Neither difficult nor easy,
AR,MILLER COUNTY,509100000,24,,25,24,0,,,1,0,,25,,,115,,0,1,14,28,39,33,115,,Somewhat easy,
AR,WASHINGTON COUNTY,514300000,150,,59,56,0,,,2,1,,59,,,497,,-999999,18,38,112,135,194,497,,Somewhat difficult,
AZ,COCHISE COUNTY,400300000,49,,50,49,0,0, ,0,0,1,50,Recorder's Office,,292,,0,5,12,66,107,102,292,,Somewhat easy,
AZ,MARICOPA COUNTY,401300000,724,"Arizona underwent “Redistricting” prior to the 2012 General Election and part of the redistricting efforts for Maricopa County was to redraw and consolidate precincts.  Prior to 2012, Maricopa County had 1,124 precincts (since 2006).  With the increase in the number of voters in Maricopa County on the Permanent Early Voting List (1,162,067), we were able to merge several precincts to reach a new precinct total for 2012 of 724 precincts.",697,677,0,,,12,3,5,697,"Secure ""ballot box only"" drop site","       D2a is a total number of physical polling places (677) IN ADDITION to the 15 early voting centers (3 offices and 12 off-site locations) and the 5 drop off “ballot box” sites for a total of 697.  “Election Day” voting (D2b) is only offered at polling place locations.  Each of the 724 precincts is technically assigned a polling place.  However, in certain areas some precinct polling places were co-located within the same facility and that is why the ""physical"" polling place location total is less than the number of precincts existing.  A co-located polling place consists of two different and separate boards specifically assigned to a given precinct and a specific set of voters within that precinct.  Additionally, we had 7 All-Mail Precincts where the total number of registered voters within those precincts was less than 25 registered voters.  These All-Mail precincts were still co-located and assigned to a physical polling place in case a voter opted to vote in-person versus by mail.",4820,"       As a note, we also hired 119 citizen board Troubleshooters that do not serve as polling place board workers but are assigned several specific polling place locations to assist the board workers at these locations with any issues that come up on Election Day. This quantity of additional workers (119) is NOT reflected in the above grand total.",167,188,245,1260,1565,1395,4820,"       Maricopa County implemented ""Student"" poll workers program back in 2008.  Since its inception, we have seen a steady increase in participation amongst students.  For this 2012 General election, of the 4,820 workers, we had over 167 of these board workers that were ""Student"" poll workers.",Neither difficult nor easy,"The recruitment process was neither difficult nor easy.  By this we mean with the 724 precincts (677 physical polling locations) we have here in Maricopa County, we found many polling places where we had a surplus of workers due to the more populace location which then made it easy to locate sufficient number of board workers.  However, in some rural areas, it was somewhat difficult to recruit poll workers.  We do ask poll workers to work outside of their precinct but many of the rural areas were just too far for some out-of-precinct workers to accept. "
AZ,MOHAVE COUNTY,401500000,73,,73,70,0,,,3,0,,73,,,630,,37,22,12,135,276,148,630,,Neither difficult nor easy,
AZ,PINAL COUNTY,402100000,102,,101,98,0,,,0,3,,101,,,746,,2,38,77,191,266,172,746,,Neither difficult nor easy,
AZ,YAVAPAI COUNTY,402500000,107,,32,30,0,,,,2,,32,,Yavapai County utilized Vote Centers and not traditional polling places for the 2012 elections.,292,,12,7,10,63,123,77,292,,Neither difficult nor easy,
CA,AMADOR COUNTY,600500000,30,,27,26,1,,,-999999,-999999,,27,,,121,,0,2,4,35,45,35,121,,Neither difficult nor easy,
CA,BUTTE COUNTY,600700000,155,,45,44,1,,,0,0,,45,,,557,,109,39,37,102,141,129,557,,Somewhat difficult,
CA,CONTRA COSTA COUNTY,601300000,834,,390,389,1,,,0,,,390,Our office was used as election day AND early voting,,2902,,119,163,206,890,855,606,2839,,Neither difficult nor easy,
CA,EL DORADO COUNTY,601700000,158,,65,63,2,,,0,2,,67,,Polling Places for D2c and D2f are the same.,480,,93,17,22,112,130,95,469,Age Unknown=11,Neither difficult nor easy,The Student Poll Worker program has worked really good for us. The long hours for most of the poll workers is a key as to whether they serve or not. Half day shifts seemed to be the key for some of our workers. We have many poll workers that have served for more than 15 years.
CA,FRESNO COUNTY,601900000,611,210,273,272,1,-999999,N/A,-999999,,-999999,273,N/A,,1672,,477,-999999,-999999,-999999,-999999,-999999,477,,Neither difficult nor easy,
CA,HUMBOLDT COUNTY,602300000,129,D1a. Total number of consolidated precincts for November 2012.  Humboldt County has 295 regular precincts.,56,55,0,,,0,1,,56,,,391,,2,19,32,123,135,80,391,,Very difficult,
CA,KERN COUNTY,602900000,583,,142,141,1,,,0,1,,143,,The Elections office was used as an early voting site and also used on election day. The totals for D2a will not match.,1364,,117,159,151,397,286,228,1338,Note: There were 26 Election Day appointments made. Those officers are not currently linked to their voter registration (DOB) information so they are not included in breakdown.,Somewhat difficult,
CA,LOS ANGELES COUNTY,603700000,4993,,4623,4621,1,,,0,1,,4623,,,26310,1580 Poll Workers Unknown ,6828,1490,4570,9275,2102,465,24730,,Very difficult,
CA,MADERA COUNTY,603900000,96,,41,40,1,-999999,,-999999,-999999,2,43,,  ,302,,0,37,29,75,83,74,298,,Somewhat difficult,
CA,MARIN COUNTY,604100000,194,,99,98,1,,,-999999,-999999,,99,,,774,,11,13,25,162,245,318,774,,Somewhat easy,
CA,MERCED COUNTY,604700000,130,,60,58,1,,,0,1,,60,,,453,,1,46,45,117,120,124,453,,Neither difficult nor easy,
CA,MONTEREY COUNTY,605300000,189,,84,82,1,,,0,1,,84,,,870,,82,,,,,,82,,Somewhat easy,"Although we have enough workers and field inspectors, it is always a task to convince eligible workers to serve as inspectors (person who leads the team at each precinct)"
CA,ORANGE COUNTY,605900000,1977,,1167,1154,1,,,1,11,,1167,,,6881,,1874,953,320,1324,1120,926,6517,These numbers exclude coordinators (236) and poll workers for whom we do not have brithdate data (128).,Neither difficult nor easy,"Due to the attention around the presidential content, there was lots of interest in volunteering for this election."
CA,PLACER COUNTY,606100000,351,,139,138,1,,,,,,139,,,1756,,76,63,64,396,541,490,1630,The 126 Difference from D3 to D4. We do not track all ages of out of county support staff.,Neither difficult nor easy,
CA,RIVERSIDE COUNTY,606500000,1218,,647,642,1,,,4,0,,647,,,3308,,381,479,469,932,475,369,3105,,Neither difficult nor easy,
CA,SACRAMENTO COUNTY,606700000,1106,"This includes Precincts, Vote by Mail Precincts and Mail Ballot Precincts",472,470,1,,,,1,,472,,,2337,,86,206,236,832,546,431,2337,,Somewhat difficult,It is more than challenging to locate bilingual poll workers.
CA,SAN BENITO COUNTY,606900000,44,,16,16,17,,18 PP / 16 Locations + Office,0,1,-999999,34,,18 PP/16 Locations + Office,132,,1,13,8,41,30,17,110,,,
CA,SAN JOAQUIN COUNTY,607700000,430,,287,286,1,,,0,,,287,,,2269,,569,385,176,465,286,288,2169,,Very easy,
CA,SAN LUIS OBISPO COUNTY,607900000,147,,137,135,2,,,,2,,139,,Our two election offices serve as polling places on Election Day and also as a location where voters can pick up their VBM ballot beginning 29 days before the election.,1373,,59,31,46,245,480,500,1361,Some pollworker records do not have date of birth information.,Somewhat easy,
CA,SAN MATEO COUNTY,608100000,510,,208,204,2,,,,2,,208,,,2241,,553,191,176,428,484,409,2241,,Very difficult,
CA,SANTA BARBARA COUNTY,608300000,257,,97,94,3,-999999,N/A,-999999,-999999,-999999,97,N/A,,1142,56 are standby pollworkers,69,79,64,243,308,356,1119,56 are standby pollworkers and 23 are Field Supervisors who support the vote centers,,
CA,SANTA CLARA COUNTY,608500000,1000,,756,754,1,,,0,1,,756,,,3864,,693,372,576,718,775,706,3840,We have 24 Election Officers with no age data,Somewhat difficult,
CA,SANTA CRUZ COUNTY,608700000,253,,144,140,2,,,0,2,,144,,,1175,,168,154,91,318,242,202,1175,,Somewhat difficult,"The General Election is always easier to obtain poll workers for, however it is always a challenge to fill the bilingual requirements and filling the remote areas of the county and the University."
CA,SOLANO COUNTY,609500000,199,,109,107,1,,,,1,,109,,,743,,7,117,52,244,196,127,743,,Very easy,
