FIPSCode,FIPS_2Digit,State,JurisdictionName,D1a,D1Comments,D2a,D2b,D2c,D2d_Other,D2d,D2e,D2f,D2g_Other,D2g,D2Comments,D3a,D3Comments,D4a,D4b,D4c,D4d,D4e,D4f,D4Comments,D5,D5Comments,string_field_27,int64_field_28,int64_field_29,string_field_30
200000000,2,AK,ALASKA,441, ,624,441,0,-999999: Data Not Available,-999999: Data Not Available,178,5, ,-999999: Data Not Available,NOTE:  LOCATIONS LISTED IN D2E AND IN D2F ARE ALSO OPEN ON ELECTION DAY IN ADDITION TO BEING OPEN PRIOR TO ELECTION DAY BUT ARE CONSIDERED EARLY VOTING LOCATIONS.,2730, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable, ,2, ,,,,
100300000,1,AL,BALDWIN COUNTY,87,-888888,87,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,499,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
100500000,1,AL,BARBOUR COUNTY,21,-888888,21,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,124,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
100700000,1,AL,BIBB COUNTY,16,-888888,16,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,86,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
100900000,1,AL,BLOUNT COUNTY,28,-888888,28,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,125,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
101100000,1,AL,BULLOCK COUNTY,17,-888888,17,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,103,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
101300000,1,AL,BUTLER COUNTY,22,-888888,22,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,147,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
101500000,1,AL,CALHOUN COUNTY,46,-888888,46,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,326,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
101700000,1,AL,CHAMBERS COUNTY,39,-888888,39,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
101900000,1,AL,CHEROKEE COUNTY,23,-888888,23,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
102100000,1,AL,CHILTON COUNTY,19,-888888,19,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,118,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
102300000,1,AL,CHOCTAW COUNTY,47,-888888,47,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
102500000,1,AL,CLARKE COUNTY,51,-888888,51,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
102700000,1,AL,CLAY COUNTY,25,-888888,25,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
