FIPSCode,Jurisdiction_Name,State_Full,State_Abbr,D1a,D1Comments,D2a,D2b,D2Comments,D3a,D3Comments,D4a,D4b,D4c,D5a,D5b,D5c,D4_D5Comments,D6,D7,D6_D7Comments,D8a,D8b,D8c,D8d,D8e,D8f,D8g,string_field_28,string_field_29
6000000000,AMERICAN SAMOA,AMERICAN SAMOA,AS,8462,,7531,893,,17,,44,44,0,1,0,1,,200,12,,212,0,32,67,92,21,0,,
400300000,COCHISE COUNTY,ARIZONA,AZ,45927,,10285,729,,49,,17,Does not apply,Does not apply,1,Does not apply,1,,171,12,,171,2,8,32,52,66,11,,
400500000,COCONINO COUNTY,ARIZONA,AZ,55948,-88,15391,1834,-88,71,-88,55,54,1,8,5,3,-88,351,0,ITEM D7 IS A TRUE ZERO,351,0,10,50,130,101,60,,
401300000,MARICOPA COUNTY,ARIZONA,AZ,1454103,,269842,25512,,748,743 PRECINCTS THAT CONTAIN VOTERS (5 SOUTH MOUNTAIN PRECINCTS WITH NO VOTERS),494,493,1,35,32,3,,2811,210,"THE 210 EARLY VOTING POLLS WORKERS  CONVERTED ON ELECTION DAY TO REGULAR POLL WORKERS TO MAKE AN ACTUAL TOTAL OF 3,021 TOTAL ELECTION DAY POLL WORKERS.",3021,34,137,235,767,891,957,,
401700000,NAVAJO COUNTY,ARIZONA,AZ,37172,,15134,858,,14,14 PRECINCTS + 39 VOTE CENTERS,39,39,Data not available,15,15,Data not available,ZEROS IS A TRUE ZERO,280,4,,284,1,29,29,93,70,62,,
401900000,PIMA COUNTY,ARIZONA,AZ,393352,,80931,7745,,249,,232,232,0,12,9,3,D4C IS TRUE ZERO,2002,39,,2002,14,64,151,430,662,681,,
402700000,YUMA COUNTY,ARIZONA,AZ,44362,,8975,639,,44,,9,9,Does not apply,1,1,Does not apply,,123,16,,123,2,20,20,41,22,18,,
500700000,BENTON COUNTY,ARKANSAS,AR,77929,,29437,47185,,117,,34,34,0,11,8,3,,270,134,,270,0,10,37,89,63,71,,
502300000,CLEBURNE COUNTY,ARKANSAS,AR,,,,,,,,,,,,,,,,,,,,,,,,,,
503700000,CROSS COUNTY,ARKANSAS,AR,5918,,1923,3705,,22,,6,6,0,2,0,0,,32,29,,,,,,10,17,5,,
503900000,DALLAS COUNTY,ARKANSAS,AR,,,,,,,,,,,,,,,,,,,,,,,,,,
504300000,DREW COUNTY,ARKANSAS,AR,,,,,,,,,,,,,,,,,,,,,,,,,,
504900000,FULTON COUNTY,ARKANSAS,AR,3891,,1933,1875,,11,,12,11,1,3,2,1,,53,6,,Data not available,,,,,,,,
505100000,GARLAND COUNTY,ARKANSAS,AR,32080,,10492,20913,,56,,26,25,1,4,3,1,,137,137,,Data not available,,,,,,,,
