,2018_ACS_5_YEAR_ESTIMATE
ANDERSON COUNTY,57863
ANDREWS COUNTY,17818
ANGELINA COUNTY,87607
ARANSAS COUNTY,24763
ARCHER COUNTY,8789
ARMSTRONG COUNTY,1916
ATASCOSA COUNTY,48828
AUSTIN COUNTY,29565
BAILEY COUNTY,7092
BANDERA COUNTY,21763
BASTROP COUNTY,82577
BAYLOR COUNTY,3591
BEE COUNTY,32691
BELL COUNTY,342236
BEXAR COUNTY,1925865
BLANCO COUNTY,11279
BORDEN COUNTY,665
BOSQUE COUNTY,18122
BOWIE COUNTY,93858
BRAZORIA COUNTY,353999
BRAZOS COUNTY,219193
BREWSTER COUNTY,9216
BRISCOE COUNTY,1546
BROOKS COUNTY,7180
BROWN COUNTY,37834
BURLESON COUNTY,17863
BURNET COUNTY,45750
CALDWELL COUNTY,41401
CALHOUN COUNTY,21807
CALLAHAN COUNTY,13770
CAMERON COUNTY,421750
CAMP COUNTY,12813
CARSON COUNTY,6032
CASS COUNTY,30087
CASTRO COUNTY,7787
CHAMBERS COUNTY,40292
CHEROKEE COUNTY,51903
CHILDRESS COUNTY,7226
CLAY COUNTY,10387
COCHRAN COUNTY,2904
COKE COUNTY,3275
COLEMAN COUNTY,8391
COLLIN COUNTY,944350
COLLINGSWORTH COUNTY,2996
COLORADO COUNTY,21022
COMAL COUNTY,135097
COMANCHE COUNTY,13495
CONCHO COUNTY,4233
COOKE COUNTY,39571
CORYELL COUNTY,75389
COTTLE COUNTY,1623
CRANE COUNTY,4839
CROCKETT COUNTY,3633
CROSBY COUNTY,5861
CULBERSON COUNTY,2241
DALLAM COUNTY,7243
DALLAS COUNTY,2586552
DAWSON COUNTY,12964
DEAF SMITH COUNTY,18899
DELTA COUNTY,5215
DENTON COUNTY,807047
DEWITT COUNTY,20435
DICKENS COUNTY,2216
DIMMIT COUNTY,10663
DONLEY COUNTY,3387
DUVAL COUNTY,11355
EASTLAND COUNTY,18270
ECTOR COUNTY,158342
EDWARDS COUNTY,2055
EL PASO COUNTY,837654
ELLIS COUNTY,168838
ERATH COUNTY,41482
FALLS COUNTY,17299
FANNIN COUNTY,34175
FAYETTE COUNTY,25066
FISHER COUNTY,3883
FLOYD COUNTY,5872
FOARD COUNTY,1408
FORT BEND COUNTY,739342
FRANKLIN COUNTY,10679
FREESTONE COUNTY,19709
FRIO COUNTY,19394
GAINES COUNTY,20321
GALVESTON COUNTY,327089
GARZA COUNTY,6288
GILLESPIE COUNTY,26208
GLASSCOCK COUNTY,1430
GOLIAD COUNTY,7531
GONZALES COUNTY,20667
GRAY COUNTY,22685
GRAYSON COUNTY,128560
GREGG COUNTY,123494
GRIMES COUNTY,27630
GUADALUPE COUNTY,155137
HALE COUNTY,34113
HALL COUNTY,3074
HAMILTON COUNTY,8269
HANSFORD COUNTY,5547
HARDEMAN COUNTY,3952
HARDIN COUNTY,56379
HARRIS COUNTY,4602523
HARRISON COUNTY,66645
HARTLEY COUNTY,5767
HASKELL COUNTY,5809
HAYS COUNTY,204150
HEMPHILL COUNTY,4061
HENDERSON COUNTY,80460
HIDALGO COUNTY,849389
HILL COUNTY,35399
HOCKLEY COUNTY,23162
HOOD COUNTY,56901
HOPKINS COUNTY,36240
HOUSTON COUNTY,22955
HOWARD COUNTY,36667
HUDSPETH COUNTY,4098
HUNT COUNTY,92152
HUTCHINSON COUNTY,21571
IRION COUNTY,1524
JACK COUNTY,8842
JACKSON COUNTY,14820
JASPER COUNTY,35504
JEFF DAVIS COUNTY,2234
JEFFERSON COUNTY,255210
JIM HOGG COUNTY,5282
JIM WELLS COUNTY,41192
JOHNSON COUNTY,163475
JONES COUNTY,19891
KARNES COUNTY,15387
KAUFMAN COUNTY,118910
KENDALL COUNTY,41982
KENEDY COUNTY,595
KENT COUNTY,749
KERR COUNTY,51365
KIMBLE COUNTY,4408
KING COUNTY,228
KINNEY COUNTY,3675
KLEBERG COUNTY,31425
KNOX COUNTY,3733
LA SALLE COUNTY,7409
LAMAR COUNTY,49532
LAMB COUNTY,13262
LAMPASAS COUNTY,20640
LAVACA COUNTY,19941
LEE COUNTY,16952
LEON COUNTY,17098
LIBERTY COUNTY,81862
LIMESTONE COUNTY,23515
LIPSCOMB COUNTY,3469
LIVE OAK COUNTY,12123
LLANO COUNTY,20640
LOVING COUNTY,102
LUBBOCK COUNTY,301454
LYNN COUNTY,5808
MADISON COUNTY,14128
MARION COUNTY,10083
MARTIN COUNTY,5614
MASON COUNTY,4161
MATAGORDA COUNTY,36743
MAVERICK COUNTY,57970
MCCULLOCH COUNTY,8098
MCLENNAN COUNTY,248429
MCMULLEN COUNTY,662
MEDINA COUNTY,49334
MENARD COUNTY,2123
MIDLAND COUNTY,164194
MILAM COUNTY,24664
MILLS COUNTY,4902
MITCHELL COUNTY,8558
MONTAGUE COUNTY,19409
MONTGOMERY COUNTY,554445
MOORE COUNTY,21801
MORRIS COUNTY,12424
MOTLEY COUNTY,1156
NACOGDOCHES COUNTY,65558
NAVARRO COUNTY,48583
NEWTON COUNTY,14057
NOLAN COUNTY,14966
NUECES COUNTY,360486
OCHILTREE COUNTY,10348
OLDHAM COUNTY,2090
ORANGE COUNTY,84047
PALO PINTO COUNTY,28317
PANOLA COUNTY,23440
PARKER COUNTY,129802
PARMER COUNTY,9852
PECOS COUNTY,15797
POLK COUNTY,47837
POTTER COUNTY,120899
PRESIDIO COUNTY,7123
RAINS COUNTY,11473
RANDALL COUNTY,132475
REAGAN COUNTY,3752
REAL COUNTY,3389
RED RIVER COUNTY,12275
REEVES COUNTY,15125
REFUGIO COUNTY,7236
ROBERTS COUNTY,885
ROBERTSON COUNTY,16890
ROCKWALL COUNTY,93642
RUNNELS COUNTY,10310
RUSK COUNTY,53595
SABINE COUNTY,10458
SAN AUGUSTINE COUNTY,8327
SAN JACINTO COUNTY,27819
SAN PATRICIO COUNTY,67046
SAN SABA COUNTY,5962
SCHLEICHER COUNTY,3061
SCURRY COUNTY,17239
SHACKELFORD COUNTY,3311
SHELBY COUNTY,25478
SHERMAN COUNTY,3058
SMITH COUNTY,225015
SOMERVELL COUNTY,8743
STARR COUNTY,63894
STEPHENS COUNTY,9372
STERLING COUNTY,1141
STONEWALL COUNTY,1385
SUTTON COUNTY,3865
SWISHER COUNTY,7484
TARRANT COUNTY,2019977
TAYLOR COUNTY,136348
TERRELL COUNTY,862
TERRY COUNTY,12615
THROCKMORTON COUNTY,1567
TITUS COUNTY,32730
TOM GREEN COUNTY,117466
TRAVIS COUNTY,1203166
TRINITY COUNTY,14569
TYLER COUNTY,21496
UPSHUR COUNTY,40769
UPTON COUNTY,3634
UVALDE COUNTY,27009
VAL VERDE COUNTY,49027
VAN ZANDT COUNTY,54368
VICTORIA COUNTY,91970
WALKER COUNTY,71539
WALLER COUNTY,49987
WARD COUNTY,11586
WASHINGTON COUNTY,34796
WEBB COUNTY,272053
WHARTON COUNTY,41551
WHEELER COUNTY,5482
WICHITA COUNTY,131818
WILBARGER COUNTY,12906
WILLACY COUNTY,21754
WILLIAMSON COUNTY,527057
WILSON COUNTY,48198
WINKLER COUNTY,7802
WISE COUNTY,64639
WOOD COUNTY,43815
YOAKUM COUNTY,8571
YOUNG COUNTY,18114
ZAPATA COUNTY,14369
ZAVALA COUNTY,12131
