co_number,fips_code,cnty,county_name
1,48001,1,ANDERSON
2,48003,3,ANDREWS
3,48005,5,ANGELINA
4,48007,7,ARANSAS
5,48009,9,ARCHER
6,48011,11,ARMSTRONG
7,48013,13,ATASCOSA
8,48015,15,AUSTIN
9,48017,17,BAILEY
10,48019,19,BANDERA
11,48021,21,BASTROP
12,48023,23,BAYLOR
13,48025,25,BEE
14,48027,27,BELL
15,48029,29,BEXAR
16,48031,31,BLANCO
17,48033,33,BORDEN
18,48035,35,BOSQUE
19,48037,37,BOWIE
20,48039,39,BRAZORIA
21,48041,41,BRAZOS
22,48043,43,BREWSTER
23,48045,45,BRISCOE
24,48047,47,BROOKS
25,48049,49,BROWN
26,48051,51,BURLESON
27,48053,53,BURNET
28,48055,55,CALDWELL
29,48057,57,CALHOUN
30,48059,59,CALLAHAN
31,48061,61,CAMERON
32,48063,63,CAMP
33,48065,65,CARSON
34,48067,67,CASS
35,48069,69,CASTRO
36,48071,71,CHAMBERS
37,48073,73,CHEROKEE
38,48075,75,CHILDRESS
39,48077,77,CLAY
40,48079,79,COCHRAN
41,48081,81,COKE
42,48083,83,COLEMAN
43,48085,85,COLLIN
44,48087,87,COLLINGSWORTH
45,48089,89,COLORADO
46,48091,91,COMAL
47,48093,93,COMANCHE
48,48095,95,CONCHO
49,48097,97,COOKE
50,48099,99,CORYELL
51,48101,101,COTTLE
52,48103,103,CRANE
53,48105,105,CROCKETT
54,48107,107,CROSBY
55,48109,109,CULBERSON
56,48111,111,DALLAM
57,48113,113,DALLAS
58,48115,115,DAWSON
59,48117,117,DEAF SMITH
60,48119,119,DELTA
61,48121,121,DENTON
62,48123,123,DEWITT
63,48125,125,DICKENS
64,48127,127,DIMMIT
65,48129,129,DONLEY
66,48131,131,DUVAL
67,48133,133,EASTLAND
68,48135,135,ECTOR
69,48137,137,EDWARDS
70,48139,139,ELLIS
71,48141,141,EL PASO
72,48143,143,ERATH
73,48145,145,FALLS
74,48147,147,FANNIN
75,48149,149,FAYETTE
76,48151,151,FISHER
77,48153,153,FLOYD
78,48155,155,FOARD
79,48157,157,FORT BEND
80,48159,159,FRANKLIN
81,48161,161,FREESTONE
82,48163,163,FRIO
83,48165,165,GAINES
84,48167,167,GALVESTON
85,48169,169,GARZA
86,48171,171,GILLESPIE
87,48173,173,GLASSCOCK
88,48175,175,GOLIAD
89,48177,177,GONZALES
90,48179,179,GRAY
91,48181,181,GRAYSON
92,48183,183,GREGG
93,48185,185,GRIMES
94,48187,187,GUADALUPE
95,48189,189,HALE
96,48191,191,HALL
97,48193,193,HAMILTON
98,48195,195,HANSFORD
99,48197,197,HARDEMAN
100,48199,199,HARDIN
101,48201,201,HARRIS
102,48203,203,HARRISON
103,48205,205,HARTLEY
104,48207,207,HASKELL
105,48209,209,HAYS
106,48211,211,HEMPHILL
107,48213,213,HENDERSON
108,48215,215,HIDALGO
109,48217,217,HILL
110,48219,219,HOCKLEY
111,48221,221,HOOD
112,48223,223,HOPKINS
113,48225,225,HOUSTON
114,48227,227,HOWARD
115,48229,229,HUDSPETH
116,48231,231,HUNT
117,48233,233,HUTCHINSON
118,48235,235,IRION
119,48237,237,JACK
120,48239,239,JACKSON
121,48241,241,JASPER
122,48243,243,JEFF DAVIS
123,48245,245,JEFFERSON
124,48247,247,JIM HOGG
125,48249,249,JIM WELLS
126,48251,251,JOHNSON
127,48253,253,JONES
128,48255,255,KARNES
129,48257,257,KAUFMAN
130,48259,259,KENDALL
131,48261,261,KENEDY
132,48263,263,KENT
133,48265,265,KERR
134,48267,267,KIMBLE
135,48269,269,KING
136,48271,271,KINNEY
137,48273,273,KLEBERG
138,48275,275,KNOX
139,48277,277,LAMAR
140,48279,279,LAMB
141,48281,281,LAMPASAS
142,48283,283,LASALLE
143,48285,285,LAVACA
144,48287,287,LEE
145,48289,289,LEON
146,48291,291,LIBERTY
147,48293,293,LIMESTONE
148,48295,295,LIPSCOMB
149,48297,297,LIVE OAK
150,48299,299,LLANO
151,48301,301,LOVING
152,48303,303,LUBBOCK
153,48305,305,LYNN
154,48307,307,MCCULLOCH
155,48309,309,MCLENNAN
