COUNTY,YEAR_APPROVED,CWPP
ARANSAS COUNTY,2016,YES
ARCHER COUNTY,2019,YES
ATASCOSA COUNTY,2019,YES
BEE COUNTY,2019,YES
BEXAR COUNTY,2019,YES
BRAZORIA COUNTY,2015,YES
BRAZOS COUNTY,2016,YES
CALLAHAN COUNTY,2014,YES
COLLIN COUNTY,2013,YES
COMAL COUNTY,2019,YES
CORYELL COUNTY,2014,YES
DALLAS COUNTY,2019,YES
DEAF SMITH COUNTY,2018,YES
DEWITT COUNTY,2018,YES
EASTLAND COUNTY,2013,YES
ECTOR COUNTY,2016,YES
ELLIS COUNTY,2019,YES
ERATH COUNTY,2012,YES
FLOYD COUNTY,2013,YES
FORT BEND COUNTY,2016,YES
GAINES COUNTY,2012,YES
GALVESTON COUNTY,2012,YES
GRAYSON COUNTY,2014,YES
GREGG COUNTY,2017,YES
GRIMES COUNTY,2017,YES
GUADALUPE COUNTY,2017,YES
HARRIS COUNTY,2019,YES
HAYS COUNTY,2019,YES
HENDERSON COUNTY,2019,YES
HIDALGO COUNTY,2018,YES
HOOD COUNTY,2015,YES
HOPKINS COUNTY,2015,YES
HOWARD COUNTY,2019,YES
JACK COUNTY,2018,YES
JEFFERSON COUNTY,2014,YES
JONES COUNTY,2019,YES
KAUFMAN COUNTY,2018,YES
KENDALL COUNTY,2020,YES
LAMPASAS COUNTY,2014,YES
LEE COUNTY,2016,YES
LUBBOCK COUNTY,2012,YES
MADISON COUNTY,2013,YES
MCLENNAN COUNTY,2015,YES
MEDINA COUNTY,2016,YES
MIDLAND COUNTY,2012,YES
MILAM COUNTY,2016,YES
MONTAGUE COUNTY,2015,YES
NAVARRO COUNTY,2015,YES
NUECES COUNTY,2017,YES
PALO PINTO COUNTY,2016,YES
PARKER COUNTY,2015,YES
POTTER COUNTY,2016,YES
RANDALL COUNTY,2014,YES
RUSK COUNTY,2015,YES
SAN JACINTO COUNTY,2016,YES
SAN PATRICIO COUNTY,2018,YES
SMITH COUNTY,2015,YES
SWISHER COUNTY,2014,YES
TARRANT COUNTY,2019,YES
TAYLOR COUNTY,2015,YES
THROCKMORTON COUNTY,2017,YES
TOM GREEN COUNTY,2015,YES
TRAVIS COUNTY,2012,YES
UPSHUR COUNTY,2017,YES
VICTORIA COUNTY,2014,YES
WHARTON COUNTY,2015,YES
WILLIAMSON COUNTY,2014,YES
WICHITA COUNTY,2018,YES
YOUNG COUNTY,2016,YES
BELL COUNTY,2020,YES
MARION COUNTY,2020,YES
SCURRY COUNTY,2020,YES
