county,precinct,vr,to,ssvr,Office,Candidate,votes
Anderson,1,1629,1026,5.3,President,Romney,754
Anderson,1,1629,1026,5.3,President,Obama,261
Anderson,1,1629,1026,5.3,President,Johnson,10
Anderson,1,1629,1026,5.3,President,Stein,1
Anderson,1,1629,1026,5.3,President,Write-In,0
Anderson,2,2224,1418,2.6,President,Romney,1179
Anderson,2,2224,1418,2.6,President,Obama,228
Anderson,2,2224,1418,2.6,President,Johnson,7
Anderson,2,2224,1418,2.6,President,Stein,4
Anderson,2,2224,1418,2.6,President,Write-In,0
Anderson,3,1116,765,4.7,President,Romney,650
Anderson,3,1116,765,4.7,President,Obama,108
Anderson,3,1116,765,4.7,President,Johnson,6
Anderson,3,1116,765,4.7,President,Stein,1
Anderson,3,1116,765,4.7,President,Write-In,0
Anderson,4,1267,866,1.7,President,Romney,729
Anderson,4,1267,866,1.7,President,Obama,128
Anderson,4,1267,866,1.7,President,Johnson,6
Anderson,4,1267,866,1.7,President,Stein,3
Anderson,4,1267,866,1.7,President,Write-In,0
Anderson,5,269,188,3.7,President,Romney,174
Anderson,5,269,188,3.7,President,Obama,13
Anderson,5,269,188,3.7,President,Johnson,1
Anderson,5,269,188,3.7,President,Stein,0
Anderson,5,269,188,3.7,President,Write-In,0
Anderson,6,1206,707,8,President,Romney,317
Anderson,6,1206,707,8,President,Obama,385
Anderson,6,1206,707,8,President,Johnson,2
Anderson,6,1206,707,8,President,Stein,3
Anderson,6,1206,707,8,President,Write-In,0
Anderson,7,1298,649,14,President,Romney,148
Anderson,7,1298,649,14,President,Obama,499
Anderson,7,1298,649,14,President,Johnson,0
Anderson,7,1298,649,14,President,Stein,2
Anderson,7,1298,649,14,President,Write-In,0
Anderson,8,339,157,15,President,Romney,52
Anderson,8,339,157,15,President,Obama,104
Anderson,8,339,157,15,President,Johnson,1
Anderson,8,339,157,15,President,Stein,0
Anderson,8,339,157,15,President,Write-In,0
Anderson,9,1181,722,3.6,President,Romney,559
Anderson,9,1181,722,3.6,President,Obama,157
Anderson,9,1181,722,3.6,President,Johnson,5
Anderson,9,1181,722,3.6,President,Stein,1
Anderson,9,1181,722,3.6,President,Write-In,0
Anderson,10,494,325,7.1,President,Romney,278
Anderson,10,494,325,7.1,President,Obama,45
Anderson,10,494,325,7.1,President,Johnson,1
Anderson,10,494,325,7.1,President,Stein,1
Anderson,10,494,325,7.1,President,Write-In,0
Anderson,11,1141,703,3.4,President,Romney,518
Anderson,11,1141,703,3.4,President,Obama,179
Anderson,11,1141,703,3.4,President,Johnson,6
Anderson,11,1141,703,3.4,President,Stein,0
Anderson,11,1141,703,3.4,President,Write-In,0
Anderson,13,1646,1049,7.4,President,Romney,782
Anderson,13,1646,1049,7.4,President,Obama,256
Anderson,13,1646,1049,7.4,President,Johnson,8
Anderson,13,1646,1049,7.4,President,Stein,3
Anderson,13,1646,1049,7.4,President,Write-In,0
Anderson,15,850,559,3.6,President,Romney,463
Anderson,15,850,559,3.6,President,Obama,91
Anderson,15,850,559,3.6,President,Johnson,4
Anderson,15,850,559,3.6,President,Stein,1
Anderson,15,850,559,3.6,President,Write-In,0
Anderson,16,701,435,3.1,President,Romney,335
Anderson,16,701,435,3.1,President,Obama,95
Anderson,16,701,435,3.1,President,Johnson,5
Anderson,16,701,435,3.1,President,Stein,0
Anderson,16,701,435,3.1,President,Write-In,0
Anderson,17,813,494,6.3,President,Romney,343
Anderson,17,813,494,6.3,President,Obama,145
Anderson,17,813,494,6.3,President,Johnson,5
Anderson,17,813,494,6.3,President,Stein,1
Anderson,17,813,494,6.3,President,Write-In,0
Anderson,18,1924,1209,1.9,President,Romney,954
Anderson,18,1924,1209,1.9,President,Obama,245
Anderson,18,1924,1209,1.9,President,Johnson,9
Anderson,18,1924,1209,1.9,President,Stein,1
Anderson,18,1924,1209,1.9,President,Write-In,0
Anderson,19,2122,1286,7.3,President,Romney,999
Anderson,19,2122,1286,7.3,President,Obama,280
Anderson,19,2122,1286,7.3,President,Johnson,6
Anderson,19,2122,1286,7.3,President,Stein,1
Anderson,19,2122,1286,7.3,President,Write-In,0
Anderson,20,1116,693,13.1,President,Romney,519
Anderson,20,1116,693,13.1,President,Obama,168
Anderson,20,1116,693,13.1,President,Johnson,6
Anderson,20,1116,693,13.1,President,Stein,0
Anderson,20,1116,693,13.1,President,Write-In,0
Anderson,21,1615,1050,5.9,President,Romney,899
Anderson,21,1615,1050,5.9,President,Obama,139
Anderson,21,1615,1050,5.9,President,Johnson,10
Anderson,21,1615,1050,5.9,President,Stein,2
Anderson,21,1615,1050,5.9,President,Write-In,0
Anderson,22,891,628,2.7,President,Romney,498
Anderson,22,891,628,2.7,President,Obama,127
Anderson,22,891,628,2.7,President,Johnson,2
Anderson,22,891,628,2.7,President,Stein,1
Anderson,22,891,628,2.7,President,Write-In,0
Anderson,23,1138,827,2.6,President,Romney,702
Anderson,23,1138,827,2.6,President,Obama,116
Anderson,23,1138,827,2.6,President,Johnson,6
Anderson,23,1138,827,2.6,President,Stein,2
Anderson,23,1138,827,2.6,President,Write-In,1
Anderson,24,668,456,2.1,President,Romney,410
Anderson,24,668,456,2.1,President,Obama,44
Anderson,24,668,456,2.1,President,Johnson,0
Anderson,24,668,456,2.1,President,Stein,2
Anderson,24,668,456,2.1,President,Write-In,0
Andrews,1,1821,951,39.4,President,Romney,761
Andrews,1,1821,951,39.4,President,Obama,181
Andrews,1,1821,951,39.4,President,Johnson,5
Andrews,1,1821,951,39.4,President,Stein,2
Andrews,1,1821,951,39.4,President,Write-In,2
Andrews,2,2428,1521,23.5,President,Romney,1297
Andrews,2,2428,1521,23.5,President,Obama,199
Andrews,2,2428,1521,23.5,President,Johnson,22
Andrews,2,2428,1521,23.5,President,Stein,3
