county,precinct,vr,to,ssvr,Office,Candidate,votes
Anderson,1,1712,576,6.2,Governor,Abbott,424
Anderson,1,1712,576,6.2,Governor,Davis,130
Anderson,1,1712,576,6.2,Governor,Glass,15
Anderson,1,1712,576,6.2,Governor,Parmer,5
Anderson,1,1712,576,6.2,Governor,Pavitt,2
Anderson,2,2389,786,3.5,Governor,Abbott,663
Anderson,2,2389,786,3.5,Governor,Davis,110
Anderson,2,2389,786,3.5,Governor,Glass,11
Anderson,2,2389,786,3.5,Governor,Parmer,1
Anderson,2,2389,786,3.5,Governor,Pavitt,1
Anderson,3,1137,498,4.9,Governor,Abbott,428
Anderson,3,1137,498,4.9,Governor,Davis,65
Anderson,3,1137,498,4.9,Governor,Glass,4
Anderson,3,1137,498,4.9,Governor,Parmer,0
Anderson,3,1137,498,4.9,Governor,Pavitt,1
Anderson,4,1399,556,2.2,Governor,Abbott,464
Anderson,4,1399,556,2.2,Governor,Davis,80
Anderson,4,1399,556,2.2,Governor,Glass,6
Anderson,4,1399,556,2.2,Governor,Parmer,6
Anderson,4,1399,556,2.2,Governor,Pavitt,0
Anderson,5,276,129,3.6,Governor,Abbott,124
Anderson,5,276,129,3.6,Governor,Davis,2
Anderson,5,276,129,3.6,Governor,Glass,0
Anderson,5,276,129,3.6,Governor,Parmer,1
Anderson,5,276,129,3.6,Governor,Pavitt,1
Anderson,6,1349,519,9.3,Governor,Abbott,206
Anderson,6,1349,519,9.3,Governor,Davis,304
Anderson,6,1349,519,9.3,Governor,Glass,7
Anderson,6,1349,519,9.3,Governor,Parmer,2
Anderson,6,1349,519,9.3,Governor,Pavitt,0
Anderson,7,1400,423,15.1,Governor,Abbott,84
Anderson,7,1400,423,15.1,Governor,Davis,335
Anderson,7,1400,423,15.1,Governor,Glass,2
Anderson,7,1400,423,15.1,Governor,Parmer,1
Anderson,7,1400,423,15.1,Governor,Pavitt,1
Anderson,8,339,98,16.5,Governor,Abbott,31
Anderson,8,339,98,16.5,Governor,Davis,66
Anderson,8,339,98,16.5,Governor,Glass,0
Anderson,8,339,98,16.5,Governor,Parmer,0
Anderson,8,339,98,16.5,Governor,Pavitt,1
Anderson,9,1217,478,3.9,Governor,Abbott,361
Anderson,9,1217,478,3.9,Governor,Davis,108
Anderson,9,1217,478,3.9,Governor,Glass,2
Anderson,9,1217,478,3.9,Governor,Parmer,7
Anderson,9,1217,478,3.9,Governor,Pavitt,0
Anderson,10,541,199,7.8,Governor,Abbott,172
Anderson,10,541,199,7.8,Governor,Davis,19
Anderson,10,541,199,7.8,Governor,Glass,5
Anderson,10,541,199,7.8,Governor,Parmer,3
Anderson,10,541,199,7.8,Governor,Pavitt,0
Anderson,11,1192,472,4.1,Governor,Abbott,340
Anderson,11,1192,472,4.1,Governor,Davis,121
Anderson,11,1192,472,4.1,Governor,Glass,7
Anderson,11,1192,472,4.1,Governor,Parmer,2
Anderson,11,1192,472,4.1,Governor,Pavitt,2
Anderson,13,1752,636,8.4,Governor,Abbott,469
Anderson,13,1752,636,8.4,Governor,Davis,148
Anderson,13,1752,636,8.4,Governor,Glass,10
Anderson,13,1752,636,8.4,Governor,Parmer,4
Anderson,13,1752,636,8.4,Governor,Pavitt,0
Anderson,15,872,365,3.8,Governor,Abbott,306
Anderson,15,872,365,3.8,Governor,Davis,52
Anderson,15,872,365,3.8,Governor,Glass,5
Anderson,15,872,365,3.8,Governor,Parmer,2
Anderson,15,872,365,3.8,Governor,Pavitt,0
Anderson,16,747,290,2.8,Governor,Abbott,223
Anderson,16,747,290,2.8,Governor,Davis,60
Anderson,16,747,290,2.8,Governor,Glass,3
Anderson,16,747,290,2.8,Governor,Parmer,2
Anderson,16,747,290,2.8,Governor,Pavitt,2
Anderson,17,827,323,5.8,Governor,Abbott,234
Anderson,17,827,323,5.8,Governor,Davis,80
Anderson,17,827,323,5.8,Governor,Glass,5
Anderson,17,827,323,5.8,Governor,Parmer,2
Anderson,17,827,323,5.8,Governor,Pavitt,2
Anderson,18,1966,724,2.3,Governor,Abbott,610
Anderson,18,1966,724,2.3,Governor,Davis,104
Anderson,18,1966,724,2.3,Governor,Glass,7
Anderson,18,1966,724,2.3,Governor,Parmer,3
Anderson,18,1966,724,2.3,Governor,Pavitt,0
Anderson,19,2152,698,7.6,Governor,Abbott,536
Anderson,19,2152,698,7.6,Governor,Davis,148
Anderson,19,2152,698,7.6,Governor,Glass,10
Anderson,19,2152,698,7.6,Governor,Parmer,4
Anderson,19,2152,698,7.6,Governor,Pavitt,0
Anderson,20,1154,438,13.1,Governor,Abbott,341
Anderson,20,1154,438,13.1,Governor,Davis,89
Anderson,20,1154,438,13.1,Governor,Glass,6
Anderson,20,1154,438,13.1,Governor,Parmer,1
Anderson,20,1154,438,13.1,Governor,Pavitt,1
Anderson,21,1705,583,6.3,Governor,Abbott,490
Anderson,21,1705,583,6.3,Governor,Davis,70
Anderson,21,1705,583,6.3,Governor,Glass,17
Anderson,21,1705,583,6.3,Governor,Parmer,3
Anderson,21,1705,583,6.3,Governor,Pavitt,3
Anderson,22,933,551,3.6,Governor,Abbott,452
Anderson,22,933,551,3.6,Governor,Davis,94
Anderson,22,933,551,3.6,Governor,Glass,3
Anderson,22,933,551,3.6,Governor,Parmer,2
Anderson,22,933,551,3.6,Governor,Pavitt,0
Anderson,23,1214,532,2.5,Governor,Abbott,453
Anderson,23,1214,532,2.5,Governor,Davis,67
Anderson,23,1214,532,2.5,Governor,Glass,8
Anderson,23,1214,532,2.5,Governor,Parmer,3
Anderson,23,1214,532,2.5,Governor,Pavitt,1
Anderson,24,743,364,2.4,Governor,Abbott,321
Anderson,24,743,364,2.4,Governor,Davis,34
Anderson,24,743,364,2.4,Governor,Glass,8
Anderson,24,743,364,2.4,Governor,Parmer,0
Anderson,24,743,364,2.4,Governor,Pavitt,1
Andrews,1,1942,401,40.9,Governor,Abbott,352
Andrews,1,1942,401,40.9,Governor,Davis,43
Andrews,1,1942,401,40.9,Governor,Glass,4
Andrews,1,1942,401,40.9,Governor,Parmer,2
Andrews,1,1942,401,40.9,Governor,Pavitt,0
Andrews,2,2571,834,25,Governor,Abbott,759
Andrews,2,2571,834,25,Governor,Davis,65
Andrews,2,2571,834,25,Governor,Glass,9
Andrews,2,2571,834,25,Governor,Parmer,1
Andrews,2,2571,834,25,Governor,Pavitt,0
Andrews,3,2104,612,35.7,Governor,Abbott,549
Andrews,3,2104,612,35.7,Governor,Davis,54
Andrews,3,2104,612,35.7,Governor,Glass,8
Andrews,3,2104,612,35.7,Governor,Parmer,1
Andrews,3,2104,612,35.7,Governor,Pavitt,0
Andrews,4,1906,374,46.6,Governor,Abbott,328
Andrews,4,1906,374,46.6,Governor,Davis,41
Andrews,4,1906,374,46.6,Governor,Glass,4
Andrews,4,1906,374,46.6,Governor,Parmer,1
