county,precinct,vr,to,ssvr,Office,Candidate,votes
Anderson,1,1802,926,8,U.S. Sen,Cruz,659
Anderson,1,1802,926,8,U.S. Sen,O'Rourke,261
Anderson,1,1802,926,8,U.S. Sen,Dikeman,6
Anderson,2,2512,1237,3.5,U.S. Sen,Cruz,1062
Anderson,2,2512,1237,3.5,U.S. Sen,O'Rourke,168
Anderson,2,2512,1237,3.5,U.S. Sen,Dikeman,7
Anderson,3,1195,675,4.3,U.S. Sen,Cruz,571
Anderson,3,1195,675,4.3,U.S. Sen,O'Rourke,99
Anderson,3,1195,675,4.3,U.S. Sen,Dikeman,4
Anderson,4,1567,853,2.6,U.S. Sen,Cruz,752
Anderson,4,1567,853,2.6,U.S. Sen,O'Rourke,97
Anderson,4,1567,853,2.6,U.S. Sen,Dikeman,3
Anderson,5,296,191,2.4,U.S. Sen,Cruz,179
Anderson,5,296,191,2.4,U.S. Sen,O'Rourke,11
Anderson,5,296,191,2.4,U.S. Sen,Dikeman,1
Anderson,6,1441,650,9,U.S. Sen,Cruz,263
Anderson,6,1441,650,9,U.S. Sen,O'Rourke,383
Anderson,6,1441,650,9,U.S. Sen,Dikeman,4
Anderson,7,1403,536,17,U.S. Sen,Cruz,88
Anderson,7,1403,536,17,U.S. Sen,O'Rourke,445
Anderson,7,1403,536,17,U.S. Sen,Dikeman,2
Anderson,8,354,150,18.6,U.S. Sen,Cruz,44
Anderson,8,354,150,18.6,U.S. Sen,O'Rourke,105
Anderson,8,354,150,18.6,U.S. Sen,Dikeman,1
Anderson,9,1319,706,4.8,U.S. Sen,Cruz,563
Anderson,9,1319,706,4.8,U.S. Sen,O'Rourke,132
Anderson,9,1319,706,4.8,U.S. Sen,Dikeman,8
Anderson,10,547,260,6.9,U.S. Sen,Cruz,231
Anderson,10,547,260,6.9,U.S. Sen,O'Rourke,26
Anderson,10,547,260,6.9,U.S. Sen,Dikeman,1
Anderson,11,1274,645,3.3,U.S. Sen,Cruz,495
Anderson,11,1274,645,3.3,U.S. Sen,O'Rourke,148
Anderson,11,1274,645,3.3,U.S. Sen,Dikeman,2
Anderson,13,1747,874,10.2,U.S. Sen,Cruz,604
Anderson,13,1747,874,10.2,U.S. Sen,O'Rourke,259
Anderson,13,1747,874,10.2,U.S. Sen,Dikeman,9
Anderson,15,925,546,5.7,U.S. Sen,Cruz,476
Anderson,15,925,546,5.7,U.S. Sen,O'Rourke,63
Anderson,15,925,546,5.7,U.S. Sen,Dikeman,6
Anderson,16,813,448,4.6,U.S. Sen,Cruz,351
Anderson,16,813,448,4.6,U.S. Sen,O'Rourke,91
Anderson,16,813,448,4.6,U.S. Sen,Dikeman,3
Anderson,17,834,443,7.1,U.S. Sen,Cruz,341
Anderson,17,834,443,7.1,U.S. Sen,O'Rourke,97
Anderson,17,834,443,7.1,U.S. Sen,Dikeman,4
Anderson,18,2043,1118,2.4,U.S. Sen,Cruz,920
Anderson,18,2043,1118,2.4,U.S. Sen,O'Rourke,185
Anderson,18,2043,1118,2.4,U.S. Sen,Dikeman,8
Anderson,19,2209,1050,8.8,U.S. Sen,Cruz,795
Anderson,19,2209,1050,8.8,U.S. Sen,O'Rourke,242
Anderson,19,2209,1050,8.8,U.S. Sen,Dikeman,9
Anderson,20,1137,561,12.7,U.S. Sen,Cruz,409
Anderson,20,1137,561,12.7,U.S. Sen,O'Rourke,146
Anderson,20,1137,561,12.7,U.S. Sen,Dikeman,6
Anderson,21,1819,987,6.3,U.S. Sen,Cruz,845
Anderson,21,1819,987,6.3,U.S. Sen,O'Rourke,137
Anderson,21,1819,987,6.3,U.S. Sen,Dikeman,3
Anderson,22,990,634,4.2,U.S. Sen,Cruz,533
Anderson,22,990,634,4.2,U.S. Sen,O'Rourke,99
Anderson,22,990,634,4.2,U.S. Sen,Dikeman,0
Anderson,23,1289,780,2.8,U.S. Sen,Cruz,702
Anderson,23,1289,780,2.8,U.S. Sen,O'Rourke,74
Anderson,23,1289,780,2.8,U.S. Sen,Dikeman,4
Anderson,24,816,494,2.7,U.S. Sen,Cruz,452
Anderson,24,816,494,2.7,U.S. Sen,O'Rourke,39
Anderson,24,816,494,2.7,U.S. Sen,Dikeman,3
Andrews,1,2396,918,43.1,U.S. Sen,Cruz,716
Andrews,1,2396,918,43.1,U.S. Sen,O'Rourke,196
Andrews,1,2396,918,43.1,U.S. Sen,Dikeman,6
Andrews,2,2876,1489,28.6,U.S. Sen,Cruz,1281
Andrews,2,2876,1489,28.6,U.S. Sen,O'Rourke,200
Andrews,2,2876,1489,28.6,U.S. Sen,Dikeman,8
Andrews,3,2244,987,38.3,U.S. Sen,Cruz,784
Andrews,3,2244,987,38.3,U.S. Sen,O'Rourke,202
Andrews,3,2244,987,38.3,U.S. Sen,Dikeman,1
Andrews,4,2056,737,48.7,U.S. Sen,Cruz,557
Andrews,4,2056,737,48.7,U.S. Sen,O'Rourke,178
Andrews,4,2056,737,48.7,U.S. Sen,Dikeman,2
Angelina,1,564,227,26.8,U.S. Sen,Cruz,125
Angelina,1,564,227,26.8,U.S. Sen,O'Rourke,99
Angelina,1,564,227,26.8,U.S. Sen,Dikeman,0
Angelina,2,2582,1023,19.5,U.S. Sen,Cruz,263
Angelina,2,2582,1023,19.5,U.S. Sen,O'Rourke,741
