CNTYVTD,VTDKEY,CruzR_12G_U.S. Sen,SadlerD_12G_U.S. Sen,MyersL_12G_U.S. Sen,CollinsG_12G_U.S. Sen
"0010001",1,713,285,13,8
"0010002",2,1072,274,27,14
"0010003",3,607,126,13,3
"0010004",4,675,155,14,4
"0010005",5,152,29,2,1
"0010006",6,293,384,10,4
"0010007",7,141,486,6,7
"0010008",8,55,95,4,1
"0010009",9,516,180,12,5
"0010010",10,273,43,5,2
"0010011",11,484,193,11,6
"0010013",12,734,282,17,5
"0010015",13,428,109,11,4
"0010016",14,315,104,7,2
"0010017",15,331,151,5,2
"0010018",16,885,281,19,4
"0010019",17,946,304,19,9
"0010020",18,487,177,19,3
"0010021",19,854,167,19,5
"0010022",20,478,130,12,7
"0010023",21,661,138,15,6
"0010024",22,387,61,4,2
"0030001",23,653,177,21,10
"0030002",24,1139,167,28,11
"0030003",25,946,209,21,11
"0030004",26,757,205,22,10
"0050001",27,170,112,2,1
"0050002",28,316,893,7,5
"0050003",29,760,232,20,4
"0050004",30,432,269,7,4
"0050005",31,583,392,17,11
"0050006",32,328,129,5,2
"0050007",33,482,55,7,1
"0050008",34,654,74,7,2
"0050009",35,138,37,0,2
"0050010a",36,339,282,9,5
"0050010b",37,41,34,1,0
"0050011",38,968,157,15,5
"0050012",39,399,103,11,2
"0050013",40,260,155,5,2
"0050014",41,827,328,17,5
"0050015",42,261,63,3,2
"0050016",43,562,496,11,3
"0050017",44,651,204,13,5
"0050018",45,272,85,8,2
"0050019",46,740,267,10,5
"0050020",47,149,1176,8,7
"0050021",48,362,134,3,4
"0050022",49,492,116,8,3
"0050023",50,281,55,2,7
"0050024",51,1033,240,16,5
"0050025",52,981,234,12,7
"0050026",53,847,142,14,8
"0050027",54,196,29,4,2
"0050028",55,519,124,7,2
"0050029",56,655,172,9,7
"0050030",57,441,82,6,3
"0050031",58,162,46,0,1
"0050032",59,49,8,0,0
"0050033",60,598,111,9,5
"0050034",61,964,280,13,6
"0050035",62,886,245,16,8
"0050037",63,176,60,5,0
"0050038",64,184,33,1,1
"0050039",65,259,83,0,1
"0050040",66,258,166,10,5
"005011b",67,466,155,13,4
"005017b",68,153,62,6,1
"0070001",69,868,309,22,7
"0070002",70,1097,676,30,29
"0070003",71,1942,660,49,16
"0070004",72,1677,583,38,22
"007001a",73,521,217,19,9
"007004a",74,535,147,10,2
"0090001",75,721,114,14,4
"0090002",76,419,69,7,5
"0090003",77,182,28,3,0
"0090004",78,397,36,3,5
"0090005",79,90,18,1,1
"0090006",80,623,135,14,7
"0090007",81,130,13,2,2
"0090008",82,182,30,2,1
"0090009",83,73,17,3,0
"0090010",84,421,118,6,6
"0090011",85,15,2,0,0
"0090012",86,50,5,0,1
"0090013",87,77,13,1,0
"0110101",88,200,27,5,1
"0110201",89,105,29,3,0
"0110202",90,47,11,1,0
"0110301",91,176,20,1,3
"0110303",92,45,6,1,0
"0110401",93,92,7,0,2
"0110402",94,102,9,5,2
"0110404",95,19,0,0,0
"0130001",96,264,121,11,4
"0130003",97,315,274,15,8
"0130004",98,188,150,5,2
"0130005",99,261,234,6,1
"0130006",100,63,57,2,1
"0130007",101,380,294,21,10
"0130008",102,149,109,7,4
"0130009",103,408,325,23,5
"0130010",104,118,71,3,1
"0130011",105,421,234,18,4
"0130012",106,373,221,12,4
"0130013",107,721,405,22,19
"0130014",108,58,39,5,4
"0130015",109,531,573,17,10
"0130017",110,322,603,5,7
"0130018",111,368,340,8,3
"0130019",112,124,80,4,5
"0130020",113,1477,510,39,19
"0130021",114,345,157,5,8
"0130022",115,263,86,10,2
"0150101",116,625,149,10,1
"0150102",117,602,188,8,3
"0150103",118,808,138,8,1
"0150104",119,394,78,5,4
"0150205",120,1407,296,28,10
"0150206",121,728,112,8,3
"0150207",122,395,66,7,2
"0150208",123,321,74,10,2
"0150309",124,330,33,3,0
"0150310",125,1097,262,26,11
"0150311",126,273,273,2,3
"0150412",127,233,129,2,3
"0150413",128,653,92,6,4
"0150414",129,570,157,14,4
"0150415",130,565,258,7,7
"0170001",131,408,105,7,2
"0170002",132,557,98,8,3
"0170003",133,255,124,5,2
"0170004a",134,94,86,2,1
"0170004b",135,11,8,0,0
"0190101",136,712,179,29,16
"0190102",137,1207,319,34,24
"0190203",138,941,293,29,20
"0190204",139,752,228,33,16
"0190305",140,1226,299,46,21
"0190306",141,702,132,15,8
"0190407",142,943,199,18,7
"0190408",143,139,41,7,2
"0190409",144,272,93,11,6
"0190410",145,295,50,7,7
"0211001",146,93,56,4,2
"0211002",147,150,89,7,4
"0211003",148,559,355,31,18
"0211004",149,411,585,20,8
"0211005",150,271,208,15,2
"0211006",151,517,457,41,14
"0211007",152,431,313,24,7
"0211008",153,310,228,18,5
"0211009",154,594,471,42,19
"0212010",155,194,135,15,6
"0212011",156,377,275,22,7
"0212012",157,372,232,20,6
"0212013",158,764,547,52,17
"0212014",159,837,461,62,21
"0212015",160,854,699,45,16
"0212016",161,824,405,45,26
"0213017",162,718,466,39,16
"0213018",163,480,336,27,15
"0213019",164,566,550,46,16
"0213020",165,506,578,45,14
"0214021",166,752,638,71,25
"0214022",167,520,529,40,17
"0214023",168,316,256,32,11
"0214024",169,441,364,36,16
"0214025",170,446,518,20,5
"0214026",171,417,493,32,8
"0230001",172,295,81,14,5
"0230002",173,275,79,14,7
"0230003",174,256,96,11,2
"0230004",175,264,76,8,2
"0250001",176,610,436,24,5
"0250002",177,212,73,6,1
"0250003",178,447,317,13,10
"0250004",179,208,112,5,3
"0250005",180,321,171,8,6
"0250006",181,319,208,15,4
"0250009",182,87,273,3,3
"0250010",183,173,384,12,5
"0250013",184,412,273,10,3
"0250016",185,356,203,8,3
"0250017",186,258,316,7,4
"0250018",187,682,268,20,5
"0250019",188,73,201,4,3
"0270101",189,1739,471,50,16
"0270102",190,1573,432,50,15
"0270103",191,973,390,38,14
"0270104",192,1356,291,37,9
"0270105",193,719,155,15,6
"0270106",194,620,1161,30,15
"0270107",195,173,103,5,3
"0270108",196,673,149,28,2
"0270109",197,469,678,25,12
"0270110",198,461,316,28,6
"0270111",199,811,376,23,10
"0270113",200,1145,358,34,13
"0270114",201,826,385,31,8
"0270115",202,1677,367,52,12
"0270116",203,237,442,17,6
"0270117",204,0,0,0,0
"0270201",205,732,622,35,6
"0270202",206,1310,633,42,17
"0270203",207,1439,306,37,6
"0270204",208,328,410,21,5
"0270205",209,854,1483,48,8
"0270206",210,473,682,29,3
"0270207",211,528,801,38,14
"0270208",212,775,1258,32,9
"0270209",213,897,749,32,11
"0270210",214,473,456,19,10
"0270211",215,173,210,11,5
"0270212",216,244,202,9,4
"0270213",217,1701,355,38,8
"0270214",218,637,592,31,13
"0270215",219,833,1030,39,18
"0270216",220,959,547,32,10
"0270301",221,1530,318,32,8
"0270302",222,1509,802,48,20
"0270303",223,1358,915,65,20
"0270304",224,138,41,4,0
"0270305",225,987,362,31,12
"0270306",226,497,718,20,11
"0270307",227,356,1025,23,10
"0270308",228,1026,556,39,6
"0270309",229,572,157,16,1
"0270310",230,237,46,7,0
"0270311",231,1227,258,26,15
"0270312",232,819,172,29,11
"0270313",233,1842,707,57,13
"0270314",234,898,531,43,11
"0270315",235,806,295,24,6
"0270317",236,1522,566,39,5
"0270318",237,1028,385,38,9
"0270401",238,588,319,30,7
"0270402",239,775,516,25,8
"0270404",240,680,1121,46,15
"0270405",241,502,1099,45,12
"0270406",242,654,665,25,14
"0270408",243,598,926,40,4
"0270409",244,354,329,14,3
"0270410",245,344,642,26,6
"0270412",246,501,1037,21,8
"0270413",247,276,441,18,3
"0270414",248,510,1100,39,11
"0270415",249,539,823,30,8
"0270419",250,432,145,8,1
"0291001",251,74,247,4,6
"0291002",252,131,227,5,2
"0291003",253,110,575,11,12
"0291004",254,55,272,3,3
"0291005",255,54,245,2,3
"0291006",256,195,737,11,10
"0291007",257,141,506,5,8
"0291008",258,136,606,6,12
"0291009",259,171,208,14,5
"0291010",260,48,198,6,5
"0291011",261,85,291,5,7
"0291012",262,337,619,16,13
"0291013",263,184,777,9,9
"0291014",264,67,402,6,2
"0291015",265,104,412,5,2
"0291016",266,72,366,4,12
"0291017",267,32,70,3,2
"0291018",268,66,250,5,6
"0291019",269,61,225,5,2
"0291020",270,153,506,7,6
"0291021",271,145,551,11,10
"0291022",272,70,290,3,3
"0291023",273,162,762,8,6
"0291024",274,529,880,21,19
"0291025",275,45,207,4,3
"0291026",276,89,474,1,3
"0291027",277,12,15,1,0
"0291028",278,59,225,3,4
"0291029",279,132,613,7,10
"0291030",280,2,1,0,0
"0291031",281,112,427,11,5
"0291032",282,130,769,8,4
"0291033",283,234,452,14,8
"0291034",284,579,427,21,11
"0291035",285,215,118,8,2
"0291036",286,602,817,37,15
"0291037",287,303,663,18,13
"0291038",288,382,749,16,10
"0291039",289,189,663,12,8
"0291040",290,173,866,16,6
"0291041",291,132,704,12,7
"0291042",292,101,441,4,3
"0291043",293,245,387,22,8
"0291044",294,193,802,11,4
"0291045",295,250,854,16,15
"0291046",296,158,639,13,3
"0291047",297,152,564,10,10
"0291048",298,190,633,21,7
"0291049",299,240,718,16,4
"0291050",300,85,276,8,4
"0291051",301,275,575,11,10
"0291052",302,241,571,8,11
"0291053",303,23,83,1,0
"0291054",304,210,732,12,5
"0291055",305,392,554,19,12
"0291056",306,219,477,13,10
"0291057",307,354,411,10,12
"0291058",308,415,504,19,14
"0291059",309,40,78,1,2
"0291060",310,174,861,6,8
"0291061",311,196,667,9,9
"0291062",312,29,22,1,2
"0291063",313,337,367,16,10
"0291064",314,239,259,9,4
"0291065",315,375,443,17,4
"0291066",316,90,167,3,3
"0291067",317,654,495,26,11
"0291068",318,45,54,1,1
"0291069",319,151,171,8,1
"0291070",320,141,303,10,5
"0291071",321,354,495,19,7
"0291072",322,235,505,14,11
"0291073",323,801,788,39,17
"0291074",324,2,6,0,2
"0291075",325,198,538,18,10
"0291076",326,517,876,33,11
"0291077",327,150,578,13,9
"0291078",328,35,180,1,2
"0291079",329,452,636,28,10
"0291080",330,235,541,12,15
"0291081",331,463,138,3,4
"0291082",332,388,692,33,10
"0291083",333,662,807,44,17
"0291084",334,268,531,23,11
"0291085",335,225,455,11,6
"0291086",336,389,689,23,13
"0291087",337,194,457,9,5
"0291088",338,78,289,2,2
"0291089",339,4,18,0,0
"0291090",340,1,0,0,0
"0291091",341,231,550,11,7
"0291092",342,65,194,4,3
"0291093",343,186,169,11,6
"0291094",344,126,248,7,4
"0291095",345,62,42,7,1
"0291096",346,2,4,0,0
"0291097",347,69,252,7,1
"0291098",348,73,304,5,3
"0291099",349,414,639,18,9
"0291100",350,529,752,30,18
"0291101",351,0,0,0,0
"0291102",352,183,164,10,5
"0291103",353,182,132,7,5
"0291104",354,685,944,37,16
"0291105",355,33,54,0,2
"0291106",356,0,0,0,0
"0291107",357,383,541,13,9
"0291108",358,486,482,29,13
"0291109",359,2,0,0,0
"0291110",360,300,350,20,8
"0291111",361,762,978,42,18
"0291112",362,230,446,18,9
"0291113",363,392,428,24,9
"0291114",364,0,0,0,0
"0291115",365,113,364,9,7
"0291116",366,283,206,12,5
"0291117",367,37,123,4,0
"0291118",368,108,106,8,6
"0291119",369,5,39,1,0
"0291120",370,6,40,0,0
"0291121",371,372,326,15,10
"0291122a",372,603,352,11,7
"0291122b",373,33,19,0,0
"0291123",374,95,110,1,3
"0291124",375,18,67,3,3
"0291125",376,279,205,10,5
"0291126",377,0,0,0,0
"0291127",378,54,215,7,5
"0291128",379,196,244,4,9
"0291129",380,283,275,12,4
"0291130",381,1,1,0,0
"0291131",382,0,0,0,0
"0291132",383,54,185,4,2
"0291133",384,0,0,0,0
"0291134",385,0,0,0,0
"0291135",386,0,0,0,0
"0291136",387,30,58,3,1
"0291137",388,0,0,0,0
"0291138",389,90,207,5,7
"0291139",390,118,282,6,9
"0291140",391,107,124,6,2
"0291141",392,126,150,7,4
"0291142",393,175,339,14,5
"0291143",394,273,236,9,6
"0291144",395,413,271,7,6
"0291145",396,111,64,2,1
"0291146",397,42,33,1,2
"0291147",398,454,638,28,11
"0291148",399,46,91,5,1
"0291149",400,285,439,13,7
"0291150",401,247,282,14,3
"0291151",402,172,144,6,4
"0291152",403,268,350,11,4
"0291153",404,37,29,2,1
"0291154a",405,338,198,6,5
"0291154b",406,12,6,0,0
"0291154c",407,5,3,0,0
"0291155",408,194,345,16,4
"0291156",409,631,637,28,13
"0291157",410,231,449,17,7
"0291158",411,62,142,3,4
"0291159",412,26,91,0,3
"0292001",413,20,175,5,5
"0292002",414,81,403,4,4
"0292003",415,118,603,17,6
"0292004",416,169,758,14,10
"0292005",417,98,291,8,4
"0292006",418,3,10,0,0
"0292007",419,87,490,3,12
"0292008",420,69,335,9,6
"0292009",421,263,463,23,12
"0292010",422,589,728,39,18
"0292011",423,143,571,7,7
"0292012",424,67,437,8,5
"0292013",425,101,425,18,7
"0292014",426,119,421,9,5
"0292015",427,70,486,5,5
"0292016",428,50,339,4,3
"0292017",429,61,315,5,2
"0292018",430,106,414,4,6
"0292019",431,82,460,4,6
"0292020",432,133,772,13,2
"0292021",433,151,725,10,9
"0292022",434,80,444,9,3
"0292023",435,275,931,24,8
"0292024",436,175,509,18,11
"0292025",437,264,798,20,11
"0292026",438,406,683,24,11
"0292027",439,246,422,12,10
"0292028",440,391,792,17,12
"0292029",441,85,363,5,3
"0292030",442,67,454,7,7
"0292031",443,79,420,4,8
"0292032",444,44,163,0,2
"0292033",445,33,205,5,3
"0292034",446,41,231,7,6
"0292035",447,170,601,14,15
"0292036",448,367,641,16,14
"0292037",449,496,386,24,5
"0292038",450,295,418,25,9
"0292039",451,117,467,11,15
"0292040",452,301,756,32,10
"0292041",453,320,870,10,14
"0292042",454,125,549,7,1
"0292043",455,136,583,10,6
"0292044",456,129,611,15,6
"0292045",457,163,440,9,8
"0292046",458,261,785,21,21
"0292047",459,217,641,10,5
"0292048",460,135,432,10,7
"0292049",461,337,835,18,9
"0292050",462,315,608,16,15
"0292051",463,67,152,7,10
"0292052",464,79,249,8,4
"0292053",465,96,343,11,4
"0292054",466,225,754,13,15
"0292055",467,305,498,27,23
"0292056",468,160,454,11,2
"0292057",469,198,634,11,6
"0292058",470,250,613,15,14
"0292059",471,248,610,14,20
"0292060",472,174,424,15,11
"0292061",473,232,290,8,5
"0292062",474,238,362,12,9
"0292063",475,578,256,20,6
"0292064",476,462,660,27,11
"0292065a",477,265,345,17,9
"0292065b",478,15,22,0,0
"0292066",479,1192,938,47,16
"0292067",480,30,110,5,2
"0292068",481,1101,1152,50,28
"0292069",482,442,687,27,8
"0292070",483,102,617,11,8
"0292071",484,47,225,5,3
"0292072",485,734,843,39,28
"0292073",486,183,363,12,4
"0292074",487,67,275,3,3
"0292075",488,45,353,4,12
