CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
"0010001",1,1629,1026,86,0.0392156862745098
"0010002",2,2224,1418,58,0.0209059233449477
"0010003",3,1116,765,52,0.0300261096605744
"0010004",4,1267,866,22,0.0183908045977011
"0010005",5,269,188,10,0.0307692307692308
"0010006",6,1206,707,97,0.0486111111111111
"0010007",7,1298,649,182,0.0741885625965997
"0010008",8,339,157,51,0.0838709677419355
"0010009",9,1181,722,42,0.0194174757281553
"0010010",10,494,325,35,0.0698412698412698
"0010011",11,1141,703,39,0.018705035971223
"0010013",12,1647,1049,122,0.0541310541310541
"0010015",13,850,559,31,0.0288808664259928
"0010016",14,701,435,22,0.0254041570438799
"0010017",15,813,494,51,0.0359281437125748
"0010018",16,1924,1209,37,0.0132780082987552
"0010019",17,2122,1286,155,0.0523028883684621
"0010020",18,1116,693,146,0.0766961651917404
"0010021",19,1615,1050,95,0.0379867046533713
"0010022",20,891,628,24,0.0207006369426752
"0010023",21,1138,827,30,0.0145278450363196
"0010024",22,668,456,14,0.0196078431372549
"0030001",23,1676,877,637,0.295402298850575
"0030002",24,2200,1375,480,0.155956678700361
"0030003",25,2132,1218,767,0.241803278688525
"0030004",26,2042,1012,931,0.33074684772066
"0050001",27,545,294,98,0.123239436619718
"0050002",28,2571,1260,382,0.107569721115538
"0050003",29,1793,1039,157,0.0816125860373648
"0050004",30,1312,731,110,0.0608465608465608
"0050005",31,1875,1035,214,0.0859073359073359
"0050006",32,776,472,63,0.04149377593361
"0050007",33,831,555,37,0.0392857142857143
"0050008",34,1039,751,33,0.0281124497991968
"0050009",35,269,181,8,0.0158730158730159
"0050010a",36,1136,652,157,0.0852017937219731
"0050010b",37,138,78,31,0.0869565217391304
"0050011",38,1930,1187,62,0.0260942760942761
"0050012",39,864,531,35,0.0246679316888046
"0050013",40,693,429,58,0.0512249443207127
"0050014",41,1787,1200,127,0.0481418918918919
"0050015",42,600,340,127,0.152298850574713
"0050016",43,2228,1111,736,0.248860528714676
"0050017",44,1562,923,27,0.013215859030837
"0050018",45,618,379,38,0.0289473684210526
"0050019",46,1421,1044,46,0.0285442435775452
"0050020",47,2936,1374,404,0.0694548170276326
"0050021",48,823,511,19,0.0395256916996047
"0050022",49,1031,631,32,0.0191693290734824
"0050023",50,545,350,13,0.0227920227920228
"0050024",51,2269,1335,225,0.0691449814126394
"0050025",52,2133,1270,193,0.0755767700875099
"0050026",53,1438,1025,53,0.0272373540856031
"0050027",54,349,236,9,0.00819672131147541
"0050028",55,1001,672,127,0.106824925816024
"0050029",56,1413,865,77,0.0401836969001148
"0050030",57,930,546,17,0.0182149362477231
"0050031",58,415,224,76,0.133928571428571
"0050032",59,99,61,2,0
"0050033",60,1156,746,23,0.0215633423180593
"0050034",61,1916,1278,61,0.034892942109437
"0050035",62,1790,1184,80,0.032967032967033
"0050037",63,407,246,33,0.0448979591836735
"0050038",64,361,220,47,0.105504587155963
"0050039",65,578,348,36,0.0348837209302326
"0050040",66,741,444,54,0.0651685393258427
"005011b",67,1265,657,29,0.0213740458015267
"005017b",68,475,237,8,0.0127118644067797
"0070001",69,1911,1215,208,0.101612903225806
"0070002",70,3410,1881,1073,0.277486910994764
"0070003",71,3931,2710,375,0.074207492795389
"0070004",72,3397,2370,281,0.0741357767596835
"007001a",73,1645,771,337,0.136762860727729
"007004a",74,975,701,80,0.0704225352112676
"0090001",75,1433,873,54,0.0285714285714286
"0090002",76,683,506,11,0.0138067061143984
"0090003",77,312,220,17,0.0358744394618834
"0090004",78,636,455,30,0.0267260579064588
"0090005",79,162,116,1,0.00854700854700855
"0090006",80,1236,804,21,0.0135635018495684
"0090007",81,237,149,3,0.0261437908496732
"0090008",82,301,219,9,0.0271493212669683
"0090009",83,151,97,2,0
"0090010",84,775,558,19,0.0141342756183746
"0090011",85,26,17,3,0.0625
"0090012",86,95,58,0,0.0172413793103448
"0090013",87,126,92,0,0.010752688172043
"0110101",88,360,235,11,0.00836820083682008
"0110201",89,252,144,13,0.0425531914893617
"0110202",90,85,62,2,0.0491803278688525
"0110301",91,295,204,6,0.0245098039215686
"0110303",92,75,53,1,0
"0110401",93,133,103,3,0.0103092783505155
"0110402",94,172,119,7,0.025
"0110404",95,22,19,0,0
"0130001",96,673,406,258,0.314009661835749
"0130003",97,1259,624,621,0.430379746835443
"0130004",98,752,351,399,0.47008547008547
"0130005",99,1175,515,765,0.510516252390057
"0130006",100,284,123,124,0.53968253968254
"0130007",101,1509,730,920,0.516914749661705
"0130008",102,448,278,215,0.4375
"0130009",103,1601,777,963,0.497402597402597
"0130010",104,345,199,167,0.420792079207921
"0130011",105,1141,687,490,0.373913043478261
