CNTYVTD,VTDKEY,AbbottR_14G_Governor,DavisD_14G_Governor,GlassL_14G_Governor,ParmerG_14G_Governor,PavittW_14G_Governor
"0010001",1,424,130,15,5,2
"0010002",2,663,110,11,1,1
"0010003",3,428,65,4,0,1
"0010004",4,464,80,6,6,0
"0010005",5,124,2,0,1,1
"0010006",6,206,304,7,2,0
"0010007",7,84,335,2,1,1
"0010008",8,31,66,0,0,1
"0010009",9,361,108,2,7,0
"0010010",10,172,19,5,3,0
"0010011",11,340,121,7,2,2
"0010013",12,469,148,10,4,0
"0010015",13,306,52,5,2,0
"0010016",14,223,60,3,2,2
"0010017",15,234,80,5,2,2
"0010018",16,610,104,7,3,0
"0010019",17,536,148,10,4,0
"0010020",18,341,89,6,1,1
"0010021",19,490,70,17,3,3
"0010022",20,452,94,3,2,0
"0010023",21,453,67,8,3,1
"0010024",22,321,34,8,0,1
"0030001",23,323,41,4,2,0
"0030002",24,684,59,9,1,0
"0030003",25,578,56,8,1,0
"0030004",26,403,47,4,1,0
"0050001",27,104,35,1,1,1
"0050002",28,188,440,2,0,0
"0050003",29,454,78,4,1,2
"0050004",30,363,169,6,3,0
"0050005",31,368,168,6,3,0
"0050006",32,183,43,2,1,0
"0050007",33,346,35,4,0,0
"0050008",34,278,26,0,0,0
"0050009",35,112,31,0,1,0
"0050010a",36,223,123,6,0,0
"0050010b",37,26,15,0,0,0
"0050011",38,694,76,2,2,3
"0050012",39,271,38,1,2,0
"0050013",40,195,57,3,0,0
"0050014",41,583,173,8,0,0
"0050015",42,175,19,3,0,0
"0050016",43,309,165,4,2,0
"0050017",44,494,92,6,2,0
"0050018",45,152,51,4,0,0
"0050019",46,526,159,2,0,0
"0050020",47,99,578,2,1,0
"0050021",48,218,54,3,1,0
"0050022",49,497,80,2,1,0
"0050023",50,182,18,1,1,0
"0050024",51,616,99,10,3,0
"0050025",52,579,110,6,1,3
"0050026",53,625,76,6,0,1
"0050027",54,132,11,2,1,0
"0050028",55,363,51,3,1,0
"0050029",56,433,62,2,0,0
"0050030",57,316,36,2,2,0
"0050031",58,72,12,1,0,0
"0050032",59,12,0,0,0,0
"0050033",60,497,42,1,2,0
"0050034",61,668,145,6,1,6
"0050035",62,617,112,5,3,1
"0050037",63,123,28,7,1,0
"0050038",64,110,12,2,1,0
"0050039",65,147,27,1,0,0
"0050040",66,192,51,3,2,0
"005011b",67,275,65,2,1,0
"005017b",68,122,24,0,1,0
"0070001",69,550,155,5,2,1
"0070002",70,658,362,24,14,1
"0070003",71,1401,431,24,5,1
"0070004",72,1171,348,23,10,2
"007001a",73,289,96,8,2,0
"007004a",74,384,87,6,2,0
"0090001",75,432,54,8,1,0
"0090002",76,267,33,5,1,0
"0090003",77,120,14,0,0,0
"0090004",78,246,11,2,1,0
"0090005",79,82,11,2,2,0
"0090006",80,503,63,7,4,0
"0090007",81,77,17,0,0,0
"0090008",82,140,18,1,0,0
"0090009",83,59,8,0,0,0
"0090010",84,270,65,0,2,0
"0090011",85,10,1,0,0,0
"0090012",86,40,1,0,0,0
"0090013",87,51,6,1,0,0
"0110101",88,136,19,1,0,0
"0110201",89,72,9,3,1,0
"0110202",90,25,5,1,0,0
"0110301",91,115,13,3,0,0
"0110303",92,32,4,0,0,0
"0110401",93,45,6,1,0,0
"0110402",94,71,3,0,0,0
"0110404",95,6,0,0,0,0
"0130001",96,186,59,4,1,0
"0130003",97,210,114,2,0,0
"0130004",98,119,90,3,5,0
"0130005",99,148,122,0,1,0
"0130006",100,32,28,0,1,0
"0130007",101,225,147,6,1,1
"0130008",102,119,60,4,0,0
"0130009",103,262,175,8,0,0
"0130010",104,79,39,3,0,0
