CNTYVTD,VTDKEY,ClintonD_16G_President,TrumpR_16G_President,JohnsonL_16G_President,SteinG_16G_President,Write-InW_16G_President
"0010001",1,262,742,18,5,3
"0010002",2,181,1318,22,5,6
"0010003",3,94,663,16,2,1
"0010004",4,96,869,17,2,1
"0010005",5,9,180,2,0,0
"0010006",6,334,348,12,3,1
"0010007",7,452,128,3,3,2
"0010008",8,98,49,2,1,0
"0010009",9,146,605,20,2,1
"0010010",10,37,296,3,0,0
"0010011",11,130,592,15,2,0
"0010013",12,268,749,30,7,1
"0010015",13,84,514,7,1,0
"0010016",14,78,413,13,5,2
"0010017",15,119,374,10,1,1
"0010018",16,185,1090,17,2,3
"0010019",17,264,995,27,1,2
"0010020",18,154,488,16,5,1
"0010021",19,138,940,31,6,6
"0010022",20,107,584,7,0,5
"0010023",21,91,768,16,4,5
"0010024",22,42,501,4,0,0
"0030001",23,201,796,36,6,3
"0030002",24,197,1256,48,6,9
"0030003",25,225,1020,30,5,2
"0030004",26,215,852,33,3,1
"0050001",27,120,149,2,2,0
"0050002",28,852,286,21,4,6
"0050003",29,170,835,24,2,11
"0050004",30,354,617,13,5,6
"0050005",31,405,585,21,3,7
"0050006",32,74,312,9,1,2
"0050007",33,63,690,14,0,12
"0050008",34,36,437,8,2,2
"0050009",35,44,133,6,1,6
"0050010a",36,278,337,11,5,4
"0050010b",37,33,42,1,0,0
"0050011",38,123,1193,11,3,6
"0050012",39,79,461,10,2,4
"0050013",40,139,243,11,2,4
"0050014",41,319,827,22,6,16
"0050015",42,73,316,5,0,3
"0050016",43,516,523,21,4,5
"0050017",44,109,798,13,3,0
"0050018",45,118,266,9,5,3
"0050019",46,265,703,36,7,13
"0050020",47,1066,176,9,4,9
"0050021",48,109,367,11,1,3
"0050022",49,138,943,17,5,4
"0050023",50,23,285,6,2,2
"0050024",51,264,1201,39,8,10
"0050025",52,211,1112,24,1,7
"0050026",53,107,966,15,2,4
"0050027",54,20,211,5,0,1
"0050028",55,114,573,13,1,8
"0050029",56,140,803,20,1,3
"0050030",57,46,564,9,1,2
"0050031",58,53,157,4,0,0
"0050032",59,1,17,0,0,0
"0050033",60,79,858,11,2,4
"0050034",61,321,994,50,7,15
"0050035",62,243,945,17,4,7
"0050037",63,42,228,8,2,1
"0050038",64,34,191,6,2,1
"0050039",65,90,211,7,2,2
"0050040",66,143,288,7,1,6
"005011b",67,108,572,10,2,4
"005017b",68,16,251,4,1,2
"0070001",69,250,1024,30,4,11
"0070002",70,599,1335,57,7,10
"0070003",71,701,2146,57,14,27
"0070004",72,592,1986,64,10,25
"007001a",73,180,650,14,4,14
"007004a",74,143,599,16,2,1
"0090001",75,83,819,12,3,4
"0090002",76,49,460,15,2,1
"0090003",77,22,246,3,0,1
"0090004",78,22,458,5,0,1
"0090005",79,11,112,4,1,1
"0090006",80,79,641,18,3,1
"0090007",81,8,126,3,0,0
"0090008",82,17,217,8,0,0
"0090009",83,10,87,2,0,0
"0090010",84,79,453,8,1,4
"0090011",85,2,19,0,0,0
"0090012",86,5,57,1,0,0
"0090013",87,7,90,1,0,0
"0110101",88,11,225,3,0,0
"0110201",89,10,125,7,0,0
"0110202",90,7,47,1,2,1
"0110301",91,9,211,4,0,2
"0110303",92,7,33,0,0,0
"0110401",93,7,94,1,0,0
"0110402",94,7,121,2,2,0
"0110404",95,0,19,0,1,0
"0130001",96,124,343,11,2,0
"0130003",97,222,379,22,4,1
"0130004",98,173,198,7,4,1
"0130005",99,290,323,15,4,1
"0130006",100,73,78,5,2,1
"0130007",101,306,461,16,1,2
"0130008",102,83,196,8,0,0
"0130009",103,358,541,24,4,2
"0130010",104,75,139,3,0,0
"0130011",105,265,518,24,4,1
"0130012",106,220,418,7,5,2
"0130013",107,354,881,31,6,5
"0130014",108,28,70,3,1,0
"0130015",109,506,683,23,8,3
"0130017",110,536,337,16,7,0
"0130018",111,330,459,14,2,1
"0130019",112,70,152,7,4,0
"0130020",113,441,1668,57,6,4
"0130021",114,103,438,5,0,4
"0130022",115,94,336,10,1,3
"0150101",116,153,640,21,2,10
"0150102",117,186,649,15,5,15
"0150103",118,124,873,22,3,10
"0150104",119,90,436,6,4,1
"0150205",120,281,1455,34,9,21
"0150206",121,103,756,16,4,5
"0150207",122,68,439,7,0,2
"0150208",123,62,345,14,0,3
"0150309",124,32,365,4,1,4
"0150310",125,310,1230,38,7,7
"0150311",126,274,279,14,2,5
"0150412",127,121,254,5,2,3
"0150413",128,117,729,18,3,4
"0150414",129,173,603,14,4,2
"0150415",130,226,584,20,5,2
"0170001",131,107,421,16,1,2
"0170002",132,91,571,9,2,5
"0170003",133,103,234,8,0,0
"0170004a",134,85,105,5,2,0
"0170004b",135,11,13,1,0,0
"0190101",136,174,813,27,4,0
"0190102",137,283,1416,47,14,0
"0190203",138,295,1077,48,3,0
"0190204",139,224,769,23,8,0
"0190305",140,137,1370,50,14,0
"0190306",141,207,762,26,5,0
"0190407",142,214,1148,24,11,1
"0190408",143,48,135,2,3,0
"0190409",144,89,356,9,3,0
"0190410",145,55,317,6,1,0
"0211001",146,68,129,10,2,4
"0211002",147,113,212,15,4,6
"0211003",148,420,791,60,14,29
"0211004",149,575,545,39,19,10
