CNTYVTD,VTDKEY,AbbottR_18G_Governor,ValdezD_18G_Governor,TippettsL_18G_Governor
"0010001",1,699,214,11
"0010002",2,1090,134,13
"0010003",3,593,80,2
"0010004",4,767,77,9
"0010005",5,182,8,1
"0010006",6,286,354,9
"0010007",7,104,427,4
"0010008",8,48,96,4
"0010009",9,576,120,10
"0010010",10,241,17,2
"0010011",11,509,126,10
"0010013",12,635,224,15
"0010015",13,494,48,2
"0010016",14,367,73,8
"0010017",15,350,90,3
"0010018",16,946,162,10
"0010019",17,828,212,10
"0010020",18,417,132,7
"0010021",19,872,109,6
"0010022",20,549,81,4
"0010023",21,716,59,5
"0010024",22,463,25,6
"0030001",23,671,164,6
"0030002",24,1166,163,16
"0030003",25,880,173,7
"0030004",26,683,187,9
"0050001",27,134,84,1
"0050002",28,272,710,8
"0050003",29,718,142,5
"0050004",30,553,289,7
"0050005",31,525,373,12
"0050006",32,274,62,3
"0050007",33,648,72,3
"0050008",34,411,42,4
"0050009",35,158,36,0
"0050010a",36,232,194,4
"0050010b",37,28,24,0
"0050011",38,1110,95,3
"0050012",39,399,74,2
"0050013",40,195,133,7
"0050014",41,781,285,11
"0050015",42,300,52,4
"0050016",43,475,426,7
"0050017",44,785,85,9
"0050018",45,233,101,3
"0050019",46,677,244,13
"0050020",47,163,891,11
"0050021",48,325,89,2
"0050022",49,841,119,8
"0050023",50,267,26,3
"0050024",51,1011,234,10
"0050025",52,994,177,13
"0050026",53,885,100,10
"0050027",54,205,18,3
"0050028",55,550,112,9
"0050029",56,705,112,7
"0050030",57,517,33,10
"0050031",58,151,50,0
"0050032",59,13,0,0
"0050033",60,774,55,5
"0050034",61,982,271,16
"0050035",62,886,215,9
"0050037",63,225,38,5
"0050038",64,174,35,0
"0050039",65,194,78,2
"0050040",66,267,131,7
"005011b",67,471,86,6
"005017b",68,193,13,2
"0070001",69,970,199,12
"0070002",70,1082,437,18
"0070003",71,2020,500,31
"0070004",72,1852,410,36
"007001a",73,573,135,3
"007004a",74,578,116,8
"0090001",75,647,63,2
"0090002",76,425,39,5
"0090003",77,192,26,2
"0090004",78,381,10,4
"0090005",79,91,8,2
"0090006",80,544,69,3
"0090007",81,122,9,1
"0090008",82,187,23,2
"0090009",83,84,7,1
"0090010",84,443,55,5
"0090011",85,16,2,0
"0090012",86,47,6,1
"0090013",87,80,6,0
"0110101",88,224,10,1
"0110201",89,120,19,4
"0110202",90,43,6,1
"0110301",91,190,8,4
"0110303",92,28,7,1
"0110401",93,98,3,1
"0110402",94,100,6,2
"0110404",95,19,0,0
"0130001",96,289,84,4
"0130003",97,361,161,11
"0130004",98,184,129,5
"0130005",99,311,227,4
"0130006",100,75,57,2
"0130007",101,460,197,6
"0130008",102,184,76,2
"0130009",103,553,293,12
"0130010",104,152,71,3
"0130011",105,565,256,12
"0130012",106,395,195,7
"0130013",107,793,301,10
"0130014",108,68,23,2
"0130015",109,653,395,11
"0130017",110,375,439,15
"0130018",111,461,219,6
"0130019",112,155,48,2
"0130020",113,1574,347,35
"0130021",114,421,69,4
"0130022",115,332,68,5
"0150101",116,597,116,10
"0150102",117,630,152,8
"0150103",118,808,103,13
"0150104",119,404,68,3
"0150205",120,1350,218,19
"0150206",121,716,85,5
"0150207",122,386,57,4
"0150208",123,344,64,4
"0150309",124,357,28,5
"0150310",125,1120,277,24
"0150311",126,251,233,2
"0150412",127,241,94,3
"0150413",128,714,110,5
"0150414",129,535,126,14
"0150415",130,556,166,4
"0170001",131,383,102,6
"0170002",132,536,79,2
"0170003",133,210,73,4
"0170004a",134,104,89,5
"0170004b",135,6,5,0
"0190101",136,769,149,10
"0190102",137,1326,253,24
"0190203",138,995,259,20
"0190204",139,736,195,15
"0190305",140,1270,224,11
"0190306",141,807,109,12
"0190407",142,1188,223,15
"0190408",143,136,48,3
"0190409",144,336,92,5
"0190410",145,303,48,5
"0211001",146,133,73,4
"0211002",147,219,120,6
"0211003",148,820,456,30
"0211004",149,584,489,25
"0211005",150,370,225,14
"0211006",151,612,498,24
"0211007",152,596,342,15
"0211008",153,430,251,12
"0211009",154,692,483,28
"0212010",155,254,146,13
"0212011",156,531,310,14
"0212012",157,491,224,14
"0212013",158,1059,588,51
"0212014",159,1114,459,35
"0212015",160,1018,625,43
"0212016",161,1113,326,36
"0213017",162,949,435,35
"0213018",163,668,264,23
"0213019",164,673,549,18
"0213020",165,527,694,31
"0214021",166,900,626,48
"0214022",167,626,534,35
"0214023",168,439,218,18
"0214024",169,544,380,24
"0214025",170,526,545,20
