CNTYVTD,VTDKEY,AbbottR_22G_Governor,BarriosG_22G_Governor,O'RourkeD_22G_Governor,TippettsL_22G_Governor,Write-InW_22G_Governor
"0010001",1,610,2,204,8,0
"0010002",2,1165,2,135,11,1
"0010003",3,573,1,73,8,0
"0010004",4,808,1,68,4,0
"0010005",5,163,0,9,0,0
"0010006",6,288,2,280,3,0
"0010007",7,91,1,292,3,0
"0010008",8,59,0,74,4,0
"0010009",9,582,1,109,6,0
"0010010",10,252,0,26,0,0
"0010011",11,533,2,122,8,1
"0010013",12,584,1,188,5,1
"0010015",13,472,1,50,5,0
"0010016",14,431,2,90,7,0
"0010017",15,358,0,73,3,0
"0010018",16,948,3,130,7,0
"0010019",17,780,6,220,4,0
"0010020",18,438,3,122,4,0
"0010021",19,834,2,99,10,0
"0010022",20,570,1,86,1,0
"0010023",21,733,2,62,1,0
"0010024",22,490,0,33,3,0
"0030001",23,753,1,112,6,0
"0030002",24,1146,2,128,3,0
"0030003",25,804,5,125,15,0
"0030004",26,599,8,114,5,0
"0050001",27,138,1,81,2,0
"0050002",28,200,8,523,7,0
"0050003",29,747,1,117,5,1
"0050004",30,333,1,212,7,1
"0050005",31,413,4,222,8,0
"0050006",32,273,1,34,4,0
"0050007",33,720,2,77,6,0
"0050008",34,714,1,68,9,0
"0050009",35,114,0,39,1,0
"0050010a",36,256,3,203,4,0
"0050010b",37,37,0,29,0,0
"0050011",38,1137,4,83,7,0
"0050012",39,378,2,68,3,1
"0050013",40,144,2,78,8,0
"0050014",41,670,3,284,7,0
"0050015",42,317,1,35,3,0
"0050016",43,422,8,266,5,0
"0050017",44,892,1,72,2,1
"0050018",45,232,1,83,3,0
"0050019",46,602,3,246,6,1
"0050020",47,152,8,584,2,0
"0050021",48,400,2,125,6,0
"0050022",49,595,1,61,2,0
"0050023",50,285,1,52,3,1
"0050024",51,924,1,184,11,1
"0050025",52,1001,2,134,13,0
"0050026",53,887,3,102,2,0
"0050027",54,191,0,10,3,0
"0050028",55,565,3,103,4,0
"0050029",56,700,0,77,5,0
"0050030",57,595,2,37,3,0
"0050031",58,153,1,25,1,0
"0050032",59,65,0,3,0,0
"0050033",60,744,1,45,3,0
"0050034",61,882,4,298,11,0
"0050035",62,771,8,210,8,0
"0050037",63,247,2,40,4,0
"0050038",64,171,0,21,0,0
"0050039",65,182,0,57,1,0
"0050040",66,255,5,107,5,0
"005011b",67,457,1,71,2,0
"005017b",68,181,1,8,0,0
"0070001",69,1092,4,209,12,1
"0070002",70,1206,8,362,27,1
"0070003",71,2143,11,606,29,2
"0070004",72,1905,8,487,17,0
"007001a",73,595,1,122,5,0
"007004a",74,640,1,138,9,0
"0090001",75,723,0,54,1,0
"0090002",76,473,0,35,3,0
"0090003",77,213,1,14,1,0
"0090004",78,426,0,19,4,0
"0090005",79,103,0,9,1,0
"0090006",80,529,1,49,8,0
"0090007",81,109,0,7,1,0
"0090008",82,190,1,29,7,0
"0090009",83,92,0,11,0,0
"0090010",84,471,0,71,2,0
"0090011",85,12,0,0,0,0
"0090012",86,49,0,5,1,0
"0090013",87,108,0,12,3,0
"0110101",88,216,1,14,1,0
"0110201",89,117,0,10,1,0
"0110202",90,44,0,10,0,0
"0110301",91,172,0,13,3,0
"0110303",92,33,0,4,0,0
"0110401",93,129,0,3,0,0
"0110402",94,100,0,6,3,0
"0110404",95,20,0,0,1,0
"0130001",96,348,1,91,1,0
"0130003",97,395,4,177,4,0
"0130004",98,225,2,135,2,0
"0130005",99,278,3,212,6,1
"0130006",100,169,2,64,1,0
"0130007",101,459,3,181,8,2
"0130008",102,206,2,85,6,0
"0130009",103,538,3,337,6,0
"0130010",104,190,1,117,1,0
"0130011",105,553,8,283,7,1
"0130012",106,404,1,204,0,2
"0130013",107,877,6,268,9,1
"0130014",108,104,1,20,0,0
"0130015",109,574,8,327,9,0
"0130017",110,360,7,383,6,0
"0130018",111,526,3,191,15,0
"0130019",112,170,1,42,2,0
"0130020",113,1616,7,439,23,1
"0130021",114,462,7,83,4,2
"0130022",115,347,2,69,4,1
"0150101",116,597,1,110,7,0
"0150102",117,655,0,152,7,0
"0150103",118,812,3,109,7,2
"0150104",119,408,1,60,2,1
"0150205",120,1310,3,250,20,6
"0150206",121,775,3,110,5,1
"0150207",122,408,0,71,3,0
"0150208",123,358,1,85,6,0
"0150309",124,400,0,35,1,0
"0150310",125,1174,5,245,14,1
"0150311",126,228,1,160,3,0
"0150412",127,258,0,84,2,1
"0150413",128,730,0,105,6,0
"0150414",129,539,0,143,6,1
"0150415",130,557,3,154,11,0
"0170001",131,349,1,57,3,0
"0170002",132,476,2,63,2,0
"0170003",133,180,2,47,1,0
"0170004a",134,87,1,41,3,0
"0170004b",135,13,0,5,0,0
"0190101",136,866,2,200,3,1
"0190102",137,1391,2,293,19,1
"0190203",138,1046,1,299,16,1
"0190204",139,821,3,228,7,0
"0190305",140,1319,7,232,26,1
"0190306",141,822,1,108,10,2
"0190407",142,1424,6,259,14,2
"0190408",143,142,2,43,3,0
"0190409",144,381,4,96,5,0
"0190410",145,315,0,58,2,0
"0211001",146,145,1,87,9,2
"0211002",147,259,0,215,5,0
"0211003",148,967,3,617,17,0
"0211004",149,517,6,688,11,1
"0211005",150,385,1,256,8,0
"0211006",151,538,1,467,17,1
"0211007",152,831,9,628,13,1
"0211008",153,430,5,436,10,2
"0211009",154,552,5,475,27,0
"0212010",155,156,2,150,6,1
"0212011",156,613,6,559,14,5
"0212012",157,693,6,310,14,0
"0212013",158,1088,9,652,25,2
"0212014",159,1192,6,520,15,4
"0212015",160,1019,3,638,22,3
"0212016",161,1225,8,396,20,1
"0213017",162,920,7,520,17,1
"0213018",163,700,5,267,11,1
"0213019",164,612,6,517,10,1
"0213020",165,482,12,672,7,1
"0214021",166,749,10,608,24,2
"0214022",167,749,5,503,12,3
"0214023",168,540,2,226,10,0
"0214024",169,527,2,306,7,0
"0214025",170,357,5,659,18,1
"0214026",171,461,8,635,22,5
"0230001",172,349,0,18,4,0
"0230002",173,301,1,26,3,0
"0230003",174,249,1,29,3,0
"0230004",175,284,0,32,7,0
"0250001",176,622,6,281,8,0
"0250002",177,261,1,36,6,0
"0250003",178,446,5,208,3,0
"0250004",179,250,0,55,0,0
"0250005",180,329,1,92,5,0
"0250006",181,403,4,136,2,0
"0250009",182,103,2,169,2,0
"0250010",183,196,4,187,2,1
"0250013",184,449,2,210,10,1
"0250016",185,294,1,138,6,0
"0250017",186,267,1,177,3,0
"0250018",187,660,3,203,7,0
"0250019",188,67,0,84,1,0
"0270101",189,2732,6,888,38,6
"0270102",190,1033,0,380,18,1
"0270103",191,1589,4,733,28,2
"0270104",192,1670,11,460,17,1
"0270105",193,775,3,139,5,1
"0270106",194,479,11,815,18,1
"0270107",195,217,1,62,1,1
"0270108",196,876,2,113,7,1
"0270109",197,343,6,498,10,0
"0270110",198,153,2,124,1,0
"0270111",199,1180,5,784,21,2
"0270113",200,1237,5,454,26,1
"0270114",201,765,4,399,16,1
"0270115",202,1896,5,706,26,1
"0270116",203,181,7,298,3,0
"0270117",204,0,0,0,0,0
"0270201",205,651,3,554,15,2
"0270202",206,984,9,755,15,2
"0270203",207,2056,11,473,20,1
"0270204",208,169,5,264,3,1
"0270205",209,566,8,963,12,1
"0270206",210,415,7,653,8,0
"0270207",211,333,9,625,14,2
"0270208",212,615,8,1066,18,0
"0270209",213,728,5,936,11,1
"0270210",214,642,4,1208,27,2
"0270211",215,237,6,199,3,0
"0270212",216,390,0,193,8,0
"0270213",217,2364,7,517,22,1
"0270214",218,873,10,812,16,2
"0270215",219,859,13,1150,14,6
"0270216",220,796,8,598,16,1
"0270301",221,1839,8,319,26,0
"0270302",222,1204,4,765,17,0
"0270303",223,1255,12,928,20,2
"0270304",224,152,0,33,0,0
"0270305",225,792,3,289,10,5
"0270306",226,532,8,569,9,1
"0270307",227,314,6,584,7,0
"0270308",228,1012,7,659,22,2
"0270309",229,666,4,106,5,0
"0270310",230,301,0,37,1,0
"0270311",231,1577,1,275,19,2
"0270312",232,975,4,152,8,0
"0270313",233,1694,9,735,27,3
