UNIQUE_ID,ELECTION ID,ELECTION NAME,COUNTY,POLL PLACE ID,POLLING PLACE NAME,VOTER COUNT
47011-94334,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,94334,1ST BAPTIST NECHES,16
47011-25633,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,25633,1ST BAPTIST-ELKHART,17
47011-12261,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,12261,ANTIOCH BAPTIST CHURCH BOX 8,15
47011-16266,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,16266,CAYUGA HIGH SCHOOL,5
47011-5344,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,5344,DAV POST,10
47011-97095,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,97095,ENGLEDOW FARM & RANCH,6
47011-5345,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,5345,FRANKSTON COURTHOUSE ANNEX,27
47011-30986,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,30986,FREEDOM FELLOWSHIP CHURCH,13
47011-14624,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,14624,HARMONY BAPTIST CHURCH,3
47011-5349,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,5349,MONTALBA COMM CENTR,9
47011-32180,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,32180,NEW FELLOWSHIP,27
47011-95605,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,95605,PALESTINE CIVIC CENTER,9
47011-14628,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,14628,PALESTINE HIGH SCHOOL,22
47011-5340,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,5340,PISD ADMIN OFFICE,17
47011-5350,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,5350,PISGAH BAPTIST CHURCH,12
47011-5331,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,5331,SLOCUM HIGH SCHOOL,10
47011-14633,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,14633,SWANSON HILL,2
47011-5338,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,5338,TENN COLONY COMM CENTER,33
47011-14638,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,14638,TUCKER COMM,15
47011-5334,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,5334,WASHIGNTON EARLY CHILD,49
47011-5346,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDERSON,5346,WESTWOOD JR. HIGH,36
47011-5352,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANDREWS,5352,JAMES ROBERTS CENTER,47
47011-32902,47011,2022 MARCH 1ST DEMOCRATIC PRIMARY,ANGELINA,32902,BETHEL ASSEMBLY OF GOD,20
