County,Election Date,Election Name,Election ID,Poll Place Name,Poll Place ID
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,BELTON NAZARENE CHURCH-BELTON NAZARENE CHURCH,5506
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,BELTON SENIOR CENTER-BELTON SENIOR CENTER,5508
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,BLISS COMMUNITY CENTER-BLISS COMMUNITY CENTER,5510
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,LIBERTY CHRISTIAN CENTER-LIBERTY CHRISTIAN CENTER,5511
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,KUHLMANN CIVIC CENTER-KUHLMANN CIVIC CENTER,5513
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,ANDERSON CHAPEL A.M.E. CHURCH-ANDERSON CHAPEL A.M.E. CHURCH,5514
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,J. W. SIMS COMMUNITY CENTER-J. W. SIMS COMMUNITY CENTER,5516
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,HARKER HEIGHTS PARKS AND RECREATION CENTER-HARKER HEIGHTS PARKS AND RECREATION CENTER,5518
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,SALADO CHURCH OF CHRIST-SALADO CHURCH OF CHRIST ACTIVITIES CENTER,5519
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,KILLEEN SENIOR CENTER @ LIONS CLUB PARK-KILLEEN SENIOR CENTER @ LIONS CLUB PARK,5522
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,GRACE CHRISTIAN CENTER-GRACE CHRISTIAN CENTER,5523
BELL,3/3/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,ST PAUL CHONG HASANG CATH CHURCH-ST PAUL CHONG HASANG CATH CHURCH,5525
