06/01/2022,Office of the Secretary of State,,,Generated By: 
,State of Texas,,,BEXAR
,Election and Poll Place,,,
Election Date,Election Name,Election ID,Poll Place Name,Poll Place ID
03/01/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,47011,NORTHEAST LAKEVIEW COLLEGE-COLLEGE,97176
,,,CROSS MOUNTAIN CHURCH-CHAPEL,97200
,,,LUTHER BURBANK HIGH SCHOOL-LIBRARY,92812
,,,CHARLES GRAEBNER ELEMENTARY SCHOOL-PORTABLE 524,92814
,,,GILLETTE ELEMENTARY SCHOOL-SCHOOL,92839
,,,KINGSBOROUGH MIDDLE SCHOOL-SCHOOL,92843
,,,TEXAS A&M SAN ANTONIO MAYS CENTER-CENTER,92849
,,,SOMERSET CITY HALL-HALL,94429
,,,WRIGHT ELEMENTARY SCHOOL-SCHOOL,92819
,,,VIRGINIA A. MYERS ELEMENTARY SCHOOL-SCHOOL,92845
,,,BOB HOPE ELEMENTARY SCHOOL-FOYER,92850
,,,SHEARER HILLS BAPTIST CHURCH-CHURCH,95099
,,,HELOTES CITY HALL-HALL,95098
,,,"MIGUEL CARRILLO, JR. ELEMENTARY SCHOOL-SCHOOL",92832
,,,MISSION DEL LAGO COMMUNITY CENTER-CENTER,92846
,,,CITY OF SANDY OAKS MUNICIPAL BLDG-BUILDING,92847
,,,SOMERSET ISD CENTRAL OFFICE-OFFICE,92853
,,,ADAMS HILL ELEMENTARY SCHOOL-SCHOOL,92855
,,,SAN ANTONIO HOUSING AUTHORITY-SAN ANTONIO HOUSING AUTHORITY,92810
,,,PEASE MIDDLE SCHOOL-SCHOOL,92823
,,,BRENTWOOD STEAM SCHOOL OF INNOVATION-SCHOOL,92825
,,,GARDENDALE EARLY LEARNING PROGRAM-SCHOOL,92826
,,,RALPH LANGLEY ELEMENTARY SCHOOL-SCHOOL,92827
,,,FIVE PALMS ELEMENTARY SCHOOL-SCHOOL,92830
,,,SOUTH SAN ANTONIO HIGH SCHOOL-SCHOOL,92834
,,,VESTAL ELEMENTARY SCHOOL-SCHOOL,92837
,,,PRECINCT 1 SATELLITE OFFICE-OFFICE,92842
,,,JUDSON ISD PERFORMING ARTS CENTER-CENTER,95082
,,,CORTEZ BRANCH LIBRARY-LIBRARY,95596
,,,TAFT HIGH SCHOOL-SCHOOL,95623
,,,FRANNK MADLA ELEMENTARY SCHOOL-FRANK MADLA ELEMENTARY SCHOOL,96430
,,,NORTHWEST CHURCH OF CHRIST-FELLOWSHIP HALL,94063
,,,SOUTHSIDE ISD ADMIN BLDG-BOARD RM C-100D,93861
,,,OAK MEADOW UNITED METHODIST CHURCH-CHURCH,96518
,,,ST. LEO THE GREAT CATHOLIC CHURCH-HALL,92811
,,,DAVID CROCKETT ACADEMY-SCHOOL,93466
,,,COLLINS GARDEN BRANCH LIBRARY-LIBRARY,93481
,,,SARAH KING ELEMENTARY SCHOOL-LIBRARY,93512
,,,LAUREL HEIGHTS UNITED METHODIST CHURCH-RM 114,93525
,,,HUISACHE AVENUE BAPTIST CHURCH-AUDITORIUM,93532
,,,JOHN GLENN ELEMENTARY SCHOOL-SCHOOL,92815
,,,JOHNSTON BRANCH LIBRARY-LIBRARY,92828
,,,RAYBURN ELEMENTARY SCHOOL-SCHOOL,92821
,,,DWIGHT MIDDLE SCHOOL-SCHOOL,92824
,,,PALO ALTO ELEMENTARY SCHOOL-PERFORMING ARTS CENTER RM 163,92833
,,,OTT ELEMENTARY SCHOOL-SCHOOL,92858
,,,ADAMS ELEMENTARY SCHOOL-SCHOOL,92816
,,,JAMES RUSSELL LOWELL MIDDLE SCHOOL-AUDITORIUM,93104
,,,MURNIN ELEMENTARY SCHOOL-SCHOOL,93109
,,,BIG COUNTRY ELEMENTARY SCHOOL-SCIENCE LAB RM 201,93127
,,,LEWIS ELEMENTARY SCHOOL-SCHOOL,93141
,,,ALAN B. SHEPARD MIDDLE SCHOOL-SCHOOL,93070
,,,MARY MICHAEL ELEMENTARY SCHOOL-SCHOOL,93448
,,,ANTONIO MARGIL ELEMENTARY SCHOOL-GYM,93464
,,,MARIN B.FENWICK ACADEMY-GYM,93474
,,,EDGEWOOD GYM-SCHOOL,93483
,,,WOODLAWN ACADEMY-LIBRARY,93548
,,,THOMAS EDISON HIGH SCHOOL-HP BLDG HALLWAY,93571
,,,STEVENSON MIDDLE SCHOOL-SCHOOL,93683
,,,HENDERSON ELEMENTARY SCHOOL-SCHOOL,93686
,,,LOPEZ MIDDLE SCHOOL-SCHOOL,93712
,,,ALAMO HEIGHTS UNITED METHODIST-CHURCH,93717
,,,HARDY OAK ELEMENTARY SCHOOL-SCHOOL,93756
,,,TUSCANY HEIGHTS ELEMENTARY SCHOOL-SCHOOL,93757
,,,INDIAN SPRINGS ELEMENTARY SCHOOL-SCHOOL,93777
,,,DAVIS SCOTT YMCA-CENTER,93781
,,,ARTEMISIA BOWDEN ACADEMY-GYM,93782
,,,PECAN VALLEY ELEMENTARY SCHOOL-FRONT OFFICE LOBBY,93796
,,,HERMAN HIRSCH ELEMENTARY SCHOOL-SCHOOL,93797
,,,MOUNT CALVARY LUTHERAN CHURCH-GYM,93798
,,,KRUEGER MIDDLE SCHOOL-SCHOOL,93804
,,,MONTGOMERY ELEMENTARY SCHOOL-SCHOOL,93811
,,,SCHAEFER BRANCH LIBRARY-LIBRARY,93821
,,,METZGER MIDDLE SCHOOL-SCHOOL,93835
,,,NORTHERN HILLS ELEMENTARY SCHOOL-SCHOOL,93840
,,,LIECK ELEMENTARY SCHOOL-SCHOOL,93449
,,,MARY HUPPERTZ ELEMENTARY SCHOOL-SCHOOL,93495
,,,WOODLAWN HILLS ELEMENTARY SCHOOL-GYM,93500
,,,JOE WARD RECREATION CENTER-CENTER,93508
,,,ESPARZA ELEMENTARY SCHOOL-SCHOOL,93538
,,,SHAVANO PARK CITY HALL-LOBBY,93732
,,,TAKAS PARK-CENTER,93807
,,,CHINA GROVE CITY HALL-COURTROOM,93815
,,,EAST CENTRAL HIGH SCHOOL-GAME GYM FOYER,93817
,,,SAM HOUSTON HIGH SCHOOL-SCHOOL,93823
,,,SPRING MEADOWS ELEMENTARY SCHOOL-SCHOOL,93824
,,,THOUSAND OAKS BRANCH LIBRARY-LIBRARY,93828
,,,MIRABEAU B. LAMAR ELEMENTARY SCHOOL-SCHOOL,93830
,,,AGNES COTTON ACADEMY-GYM,93836
,,,STAHL ELEMENTARY SCHOOL-SCHOOL,93841
,,,UNIVERSAL CITY LIBRARY-LIBRARY,93842
,,,BEXAR COUNTY ELECTIONS-MAIN OFFICE,93459
,,,YOUNG WOMENS LEADERSHIP ACADEMY-GYM,93555
,,,KENWOOD COMMUNITY CENTER-CENTER,93580
,,,WESTMINISTER SQUARE MANAGEMENT-CHURCH,93589
,,,KRUEGER ELEMENTARY SCHOOL-SCHOOL,93689
,,,LAS LOMAS ELEMENTARY SCHOOL-SCHOOL,93694
,,,HUEBNER ELEMENTARY SCHOOL-SCHOOL,93773
,,,BEACON HILL ACADEMY-LIBRARY,93785
,,,MARTIN LUTHER KING JR. ACADEMY-BOYS GYM,93799
,,,VALE MIDDLE SCHOOL-SCHOOL,93438
,,,GALM ELEMENTARY SCHOOL-SCHOOL,93445
,,,RAWLINSON MIDDLE SCHOOL-SCHOOL,93720
,,,FAITH LUTHERAN CHURCH-CHURCH,93748
,,,FIRST CHINESE BAPTIST CHURCH-CHURCH,93759
,,,HIGHLAND HILLS ELEMENTARY SCHOOL-SCHOOL,93795
,,,PRE-K ACADEMY AT WEST AVENUE-SCHOOL,93657
,,,WONDERLAND MALL OF THE AMERICAS-UPPER LEVEL B61,93684
,,,RIDGEVIEW ELEMENTARY SCHOOL-SCHOOL,93690
,,,LEON VALLEY CONFERENCE CENTER-CENTER,93695
,,,LARKSPUR ELEMENTARY SCHOOL-SCHOOL,93726
,,,CIBOLO GREEN ELEMENTARY SCHOOL-SCHOOL,93758
,,,WANKE ELEMENTARY SCHOOL-SCHOOL,93767
,,,WOODSTONE ELEMENTARY SCHOOL-SCHOOL,93829
,,,MISSION BRANCH LIBRARY-LIBRARY,92818
,,,MILLER'S POINT ELEMENTARY SCHOOL-SCHOOL,93826
