06/30/2022,Office of the Secretary of State,,,Generated By: 
,State of Texas,,,CAMERON
,Election and Poll Place,,,
Election Date,Election Name,Election ID,Poll Place Name,Poll Place ID
03/03/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,CAMERON COUNTY COURTHOUSE JUDCIAL COMPLEX-MAIN EALY VOTING BRANCH,91157
,,,PORT ISABEL CITY HALL-PORT ISABEL CITY HALL,91158
,,,RIO HONDO HIGH SCHOOL-RIO HONDO HIGH SCHOOL,91159
,,,OLIVEIRA MIDDLE SCHOOL-OLIVEIRA MIDDLE SCHOOL,91162
,,,HANNA HIGH SCHOOL-HANNA HIGH SCHOOL,91300
,,,LOS FRESNOS COMMUNITY CENTER-LOS FRESNOS COMMUNITY CENTER,91160
,,,VILLAREAL ELEMENTARY SCHOOL-VILLAREAL ELEMENTARY SCHOOL,91161
,,,BURNS ELEMENTARY SCHOOL-BURNS ELEMENTARY SCHOOL,91299
,,,J.T. CANALES ELEMENTARY SCHOOL-J.T. CANALES ELEMENTARY SCHOOL,91163
,,,CROMACK ELEMENTARY SCHOOL-CROMACK ELEMENTARY SCHOOL,91164
,,,RUSSELL ELEMENTARY SCHOOL-RUSSELL ELEMENTARY SCHOOL,91165
,,,SHARP ELEMENTARY SCHOOL-SHARP ELEMENTARY SCHOOL,91166
,,,EL JARDIN ELEMENTARY SCHOOL-EL JARDIN ELEMENTARY SCHOOL,91167
,,,BONITA PARK COMMUNITY BUILDING-BONITA PARK COMMUNITY BUILDING,91284
,,,SANTA MARIA ISD ADMINISTRATIVE BUILDING-BOARD ROOM,91285
,,,LA FERIA CITY HALL CITY-CITY COUNCIL MEETING ROOM,91286
,,,AUSTIN ELEMENTARY SCHOOL-AUSTIN ELEMENTARY SCHOOL,91290
,,,MARIA LUISA RUIZ GUERRA COUNTY ANNEX-MARIA LUISA RUIZ GUERRA COUNTY ANNEX,91287
,,,COMBES MUNICIPAL COMPLEX-COMBES MUNICIPAL COMPLEX,91288
,,,VERNON MIDDLE SCHOOL-VERNON MIDDLE SCHOOL,91291
,,,ZAVALA ELEMENTARY SCHOOL-ZAVALA ELEMENTARY SCHOOL,91293
,,,TREASURE HILLS PRESBYTERIAN CHURCH-TREASURE HILLS PRESBYTERIAN CHURCH,91294
,,,GARZA ELEMENTARY SCHOOL-GARZA ELEMENTARY SCHOOL,91298
,,,PERKINS MIDDLE SCHOOL-PERKINS MIDDLE SCHOOL,91295
,,,BENAVIDES ELEMENTARY SCHOOL-BENAVIDES ELEMENTARY SCHOOL,91296
,,,SOUTH PADRE ISLAND CITY HALL-SOUTH PADRE ISLAND CITY HALL,91297
,,,JAMES PACE HIGH SCHOOL-JAMES PACE HIGH SCHOOL,91301
,,,RIVERA HIGH SCHOOL-RIVERA HIGH SCHOOL,91303
,,,CAMERON PARK COMMUNITY CENTER - EL CENTRO CULTURAL-CAMERON PARK COMMUNITY CENTER -EL CENTRO CULTURAL,91305
,,,LONG ELEMENTARY SCHOOL-LONG ELEMENTARY SCHOOL,91306
,,,BROWNSVILLE PUBLIC LIBRARY-BROWNSVILLE PUBLIC LIBRARY,91307
,,,BOB CLARK SOCIAL SERVICES CENTER-BOB CLARK SOCIAL SERVICES CENTER,91308
