06/01/2022,Office of the Secretary of State,,,Generated By: 
,State of Texas,,,DALLAS
,Election and Poll Place,,,
Election Date,Election Name,Election ID,Poll Place Name,Poll Place ID
03/01/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,47011,FREEDOM CHURCH-LOBBY,97193
,,,AMBER TERRACE ELEMENTARY-DEISD-LIBRARY,97242
,,,MCCULLOCH INTERMEDIATE SCHOOL-SOUTH GYM-MAIN LIBRARY,97254
,,,"NEW MOUNT ZION BAPTIST CHURCH-EDUCATIONAL BLDG, CHAPEL",92914
,,,MOSS HAVEN ELEMENTARY SCHOOL-GYM,92915
,,,MARGARET B HENDERSON ELEM SCHOOL-GYM,93889
,,,VICKERY BAPTIST CHURCH-1A,92875
,,,SOUTH OAK CLIFF HIGH SCHOOL-AUDITORIUM,94803
,,,SPRING VALLEY ELEM SCHOOL-GYM,92929
,,,MARTHA T REILLY ELEMENTARY SCH-AUDITORIUM,92940
,,,SAN JACINTO ELEMENTARY SCHOOL-AUDITORIUM,92974
,,,EDWARD TITCHE ELEMENTARY SCHOOL-AUDITORIUM,92976
,,,LAKE HIGHLANDS HIGH SCHOOL-AUDITORIUM FOYER,93028
,,,A E SIMS CEDAR HILL REC CENTER-TEXAS ROOM,93029
,,,GOODBAR RECREATION CENTER-CRAFT ROOM,93037
,,,TOLER ELEMENTARY SCHOOL-GYM,93159
,,,THE MUSEUM OF BIBLICAL ART-LIBRARY,93160
,,,WILMER COMMUNITY CENTER-MAIN ROOM,93181
,,,IRVING FIRE STATION #8-FRONT BAY,93336
,,,HORN HIGH SCHOOL-SENIOR SECTION,93351
,,,NUEVA VIDA NEW LIFE ASSEMBLY CH-SANCTUARY,92977
,,,SYLVIA MENDEZ (CREW) LEADERSHIP ACADEMY-AUDITORIUM,92978
,,,NATHANIEL HAWTHORNE ELEM SCHOOL-AUDITORIUM,92979
,,,J N ERVIN ELEMENTARY SCHOOL-AUDITORIUM FOYER,92994
,,,BRADFIELD ELEMENTARY SCHOOL-GYM,93083
,,,DESOTO EAST MIDDLE SCHOOL-GYM/BLCC,93136
,,,LOVERS LANE UMC-WATSON HALL,93138
,,,HOUSTON ELEMENTARY SCHOOL-LISD-LIBRARY,93162
,,,HENRY LONGFELLOW MIDDLE SCHOOL-PORTABLE 40,93165
,,,ST ANDREWS EPISCOPAL CHURCH-HUNSAKER HALL,93251
,,,BLANTON ELEMENTARY SCHOOL-GYM,93262
,,,MUSTANG PARK RECREATION CENTER-GYM,93347
,,,BACK ELEMENTARY SCHOOL-GYM,93348
,,,EVANGELIST TEMPLE CHURCH-CHURCH,92930
,,,SKYLINE HIGH SCHOOL-AUDITORIUM FOYER,92973
,,,MARK TWAIN VANGUARD-AUDITORIUM,92983
,,,CLARA OLIVER ELEMENTARY SCHOOL-AUDITORIUM,92952
,,,"BAYLES ELEMENTARY SCHOOL-COMPUTER LAB, RM 121",92967
,,,H GRADY SPRUCE HIGH SCHOOL-AUDITORIUM,93011
,,,KLEBERG RYLIE RECREATION CENTER-LARGE ROOM,93019
,,,ZACK MOTLEY ELEM SCHOOL-PORTABLE 119,93041
,,,LEE MCSHAN JUNIOR ELEM SCHOOL-MAIN LOBBY,92916
,,,BEN MILAM ELEMENTARY SCHOOL-CAFETERIA,92920
,,,THE FATHER'S CHURCH-YOUTH ROOM,92924
,,,REINHARDT ELEMENTARY SCHOOL-AUDITORIUM,92956
,,,JC RUGEL ELEMENTARY SCHOOL-CAFETERIA,93047
,,,DUNCANVILLE'S FIRST BAPTIST CHUR-FELLOWSHIP HALL,93048
,,,"WEST MESQUITE HIGH SCHOOL-FRONT FOYER, RIGHT SIDE",93051
,,,ARISE CHURCH-LEGACY HALL,93053
,,,AUSTIN ACADEMY-GYM,93085
,,,KIMBERLIN ACADEMY-LIBRARY 202,93088
,,,SOUTHGATE ELEMENTARY SCHOOL-FOYER,93099
,,,O'BANION MIDDLE SCHOOL-PRACTICE GYM,93102
,,,CLASSICAL CENTER AT VIAL ELEM SCHOOL-GYM,93105
,,,"JOHN J PERSHING ELEMENTARY SCH-AUDITORIUM, RM 136",93124
,,,FAITH BIBLE CHURCH-AUDITORIUM,93125
,,,L G CIGARROA ELEM SCHOOL-AUDITORIUM,93126
,,,RUBY YOUNG ELEMENTARY SCHOOL-GYM,93128
,,,CASA VIEW ELEMENTARY SCHOOL-AUDITORIUM FOYER,92946
,,,THE MEADOWS ELEMENTARY SCHOOL-GYM,93131
,,,GENEVA HEIGHTS ELEMENTARY SCHOOL-AUDITORIUM FOYER,93175
,,,HUTCHINS COMMUNITY CENTER-LOBBY,93182
,,,REVERCHON RECREATION CENTER-GAME ROOM,93206
,,,WALLACE ELEM SCHOOL-RISD-GYM,93209
,,,HARRELL BUDD ELEMENTARY SCHOOL-GYM,93210
,,,NORTHRICH ELEMENTARY SCHOOL-LIBRARY,93273
,,,ARAPAHO CLASSICAL MAGNET SCHOOL-GYM,93274
,,,DAVID G BURNETT ELEMENTARY SCH-AUDITORIUM,93277
,,,BOUDE STOREY MIDDLE SCHOOL-MAIN LOBBY,93278
,,,MULTIPLE CAREERS MAGNET CENTER-HALLWAY,92918
,,,ALEX SANGER ELEMENTARY SCHOOL-AUDITORIUM,92957
,,,ELISHA M PEASE ELEMENTARY SCHOOL-AUDITORIUM,92958
,,,ADELLE TURNER ELEMENTARY SCHOOL-GYM,92963
,,,COLONIAL BAPTIST CHURCH-HALLWAY,92970
,,,W W SAMUELL HIGH SCHOOL-AUDITORIUM,92980
,,,T G TERRY ELEMENTARY SCHOOL-AUDITORIUM,92984
,,,PLEASANT GROVE LIBRARY-CLASSROOM A/B,92988
,,,D A HULCY STEAM MIDDLE SCHOOL-1ST FLOOR ENTRANCE FOYER,93002
,,,GOOD STREET BAPTIST CHURCH-SPIGNER WING,92941
,,,SKYVIEW ELEMENTARY SCHOOL-GYM,92936
,,,MERRIMAN PARK ELEMENTARY SCHOOL-CAFE,92942
,,,GETHSEMANE MISSIONARY BAPTIST CH-FELLOWSHIP HALL,92945
,,,CFNI STUDENT CENTER-MAIN LOBBY,92948
,,,W H GASTON MIDDLE SCHOOL-AUDITORIUM FOYER,92959
,,,LAKEWOOD BRANCH LIBRARY-AUDITORIUM,92964
,,,OWENWOOD FARM & NEIGHBOR SPACE-SANCTUARY,92969
,,,ANNIE WEBB BLANTON ELEM SCHOOL-AUDITORIUM,92975
,,,YOUNG MEN'S LEADERSHIP ACADEMY-AUDITORIUM,92981
,,,B H MACON ELEMENTARY SCHOOL-AUDITORIUM,92992
,,,JOHN W CARPENTER ELEM SCHOOL-AUDITORIUM,92947
,,,H I HOLLAND ELEM SCH @ LISBON-GYM,92953
,,,FOUNTAIN OF LIVING WORD CHURCH-SANCTUARY ENTRANCE,92955
,,,R L THORNTON ELEMENTARY SCHOOL-AUDITORIUM,92989
,,,BOMLA A. MACEO SMITH-FOYER,92991
,,,HIGHLAND HILLS UMC-FELLOWSHIP HALL,93013
,,,EDWIN J KIEST ELEMENTARY SCHOOL-AUDITORIUM,93015
,,,THURGOOD MARSHALL RECREATION CTR-LARGE ROOM,93024
,,,SOLAR PREP SCHOOL FOR BOYS-AUDITORIUM,93025
,,,GALLOWAY ELEMENTARY SCHOOL-FRONT FOYER,93050
,,,HODGES ELEM SCHOOL-GYM,93119
,,,CAILLET ELEMENTARY SCHOOL-AUDITORIUM,93183
,,,PARKHILL JUNIOR HIGH SCHOOL-SMALL GYM,93184
,,,BEXAR STREET BAPTIST CHURCH-FELLOWSHIP HALL,93211
,,,THOMAS C MARSH MIDDLE SCHOOL-AUDITORIUM,93115
,,,RICHARDSON HEIGHTS ELEM-GYM,93279
,,,EISENHOWER ELEMENTARY SCHOOL-MUSIC RM,93297
,,,CIMARRON RECREATION CENTER-GYM,93298
,,,RONALD REAGAN MIDDLE SCHOOL-MAIN GYM,93301
,,,SAM RAYBURN ELEMENTARY SCHOOL-GYM,93302
,,,SPRINGPARK SPORTS CLUB-1ST FL BALLROOM,93303
,,,LORENZO DE ZAVALA ACADEMY-PARENT/COMMUNITY ROOM,93304
,,,"TRUMAN MIDDLE SCHOOL-LIBRARY, A126",93305
,,,L B JOHNSON DAEP-MAIN ENTRANCE,93307
,,,NORTH GARLAND BRANCH LIBRARY-PROGRAM ROOM,93308
,,,HECTOR P GARCIA ELEMENTARY SCH-GYM,93309
,,,HICKMAN ELEMENTARY SCHOOL-GYM,93310
,,,GLOBAL LEADERSHIP ACADEMY-GYM,93311
,,,WALLACE ETHRIDGE ELEMENTARY SCH-GYM,93312
,,,CLUB HILL ELEMENTARY SCHOOL-GYM,93320
,,,LYLES MIDDLE SCHOOL-COMPETITION GYM,93323
,,,DAVID CROCKETT MIDDLE SCHOOL-SPECTATOR GYM FOYER,93326
,,,RIVERCHASE ELEMENTARY SCHOOL-GYM,93343
,,,BARBARA CARDWELL CAREER PREP-LIBRARY,93345
,,,IRVING FIRE STATION # 2-FRONT BAY,93349
,,,LIBERTY GROVE ELEMENTARY SCHOOL-COMPUTER LAB 401,93350
,,,BYRD MIDDLE SCHOOL-GYM B,93352
,,,BRITAIN ELEMENTARY SCHOOL-SMALL GYM,93360
,,,EBBY HALLIDAY ELEMENTARY SCHOOL-MULTI PURPOSE ROOM 141,93367
,,,ROLLING HILLS ELEMENTARY SCHOOL-LIBRARY,93370
,,,DR MLK JR ARTS ACADEMY-MAIN LOBBY,93377
,,,PARK SOUTH YMCA-GYM,93378
,,,VALLEY RANCH BRANCH LIBRARY-MEETING ROOM,93431
,,,PARK IN THE WOODS RECREATION CTR-GYM,93016
,,,VERNON PRICE ELEMENTARY SCHOOL-CAFETERIA,93033
,,,FAIRMEADOWS ELEMENTARY SCHOOL-PORTABLE 12,93057
,,,WILLIAMS ELEMENTARY SCHOOL-GYM,93091
,,,NORTHAVEN UN METHODIST CHURCH-ATRIUM,93146
,,,GEORGE B DEALEY VANGUARD-AUDITORIUM FOYER,93148
,,,ARTHUR KRAMER ELEMENTARY SCHOOL-FOYER,93151
,,,MARCUS RECREATION CENTER-LARGE ROOM,93185
,,,GRAUWYLER PARK RECREATION CENTER-GYM B,93402
,,,OAK CLIFF GOVERNMENT CENTER-MAIN LOBBY,93416
,,,P L DUNBAR LANCASTER-KEIST LIB-AUDITORIUM,93419
,,,MARTIN WEISS ELEMENTARY SCHOOL-AUDITORIUM,93000
,,,"BESSIE COLEMAN MIDDLE SCHOOL-LIBRARY, ENTER DOOR #2",93034
,,,REED MIDDLE SCHOOL-AUDITORIUM,93052
,,,CENTRAL ELEMENTARY SCHOOL-AUDITORIUM,93054
,,,GEORGIA KIMBALL ELEMENTARY SCH-GYM,93066
,,,DR JC CANNADY ELEMENTARY SCHOOL-GYM,93067
,,,POTEET HIGH SCHOOL-ADMIN CONFERENCE ROOM,93069
,,,"BUSSEY MIDDLE SCHOOL-CHOIR ROOM, #224",93072
,,,GOLDEN MEADOWS ELEMENTARY SCHOOL-FOYER,93075
,,,GRANGER RECREATION CENTER-CLASSROOM 103,93089
,,,HARRY C WITHERS ELEMENTARY SCH-AUDITORIUM,93120
,,,COUCH ELEMENTARY SCHOOL-MUSIC ROOM,93143
,,,UNITY CHURCH OF DALLAS-FELLOWSHIP HALL,93144
,,,STEPHEN FOSTER ELEMENTARY SCHOOL-AUDITORIUM,93189
,,,JAMES BOWIE ELEMENTARY SCHOOL-GYM,93190
,,,LAKE HIGHLANDS ELEMENTARY SCHOOL-GYM,93205
,,,LAKE HIGHLANDS JR HIGH-LARGE GYM,93208
,,,L O DONALD ELEM SCHOOL-AUDITORIUM,93229
,,,ANNE FRANK ELEMENTARY SCHOOL-AUDITORIUM,93230
,,,ARCADIA PARK ELEMENTARY SCHOOL-MAIN BLDG ENTRY HALL,93233
,,,JESUS EXPRESS ART-AUDITORIUM FOYER,93260
,,,GREENWOOD HILLS ELEMENTARY SCH-LIBRARY,93268
,,,YOUNG WOMEN'S LDRSHP ACAD-ARNOLD-AUXILLARY GYM,93289
,,,SPRINGRIDGE ELEMENTARY SCHOOL-GYM,93290
,,,CHARLEY TAYLOR RECREATION CENTER-ACTIVITY ROOM,93293
,,,MOCKINGBIRD ELEMENTARY SCHOOL-GYM,93337
