06/30/2022,Office of the Secretary of State,,,Generated By: 
,State of Texas,,,FORT BEND
,Election and Poll Place,,,
Election Date,Election Name,Election ID,Poll Place Name,Poll Place ID
03/03/2020,2020 MARCH 3RD DEMOCRATIC PRIMARY,44145,ED-KENDLETON CHURCH OF GOD-ED BUILDING,90848
,,,ED-MUSTANG COMMUNITY CENTER-CLASSROOM,90850
,,,ED-LIVING WORD LUTHERAN CHURCH-LIFE CENTER - COURTYARD SIDE,90859
,,,ED-IRENE STERN COMMUNITY CENTER-COMMUNITY CENTER,90863
,,,ED-ORCHARD CITY HALL-ROOM # 7,90865
,,,ED-BAPS SHRI SWAMINARAYAN MANDIR-DINING ROOM HALL-FRONT,90874
,,,ED-BRIARCHASE MISSIONARY BAPT CH.-FELLOWSHIP HALL,90883
,,,ED-CHASEWOOD CLUBHOUSE-LEVEL 1 (CLUBHOUSE FACILITY),90886
,,,ED-CLEMENTS H. S.-AUDITORIUM LOBBY,90890
,,,ED-COMMONWEALTH CLUBHOUSE-CLUBHOUSE,90891
,,,ED-FOUR CORNERS COMMUNITY CENTER-MAIN BLDG,90904
,,,ED-REESE TECHNICAL CENTER-MAIN BUILDING,90953
,,,ED-SUGAR CREEK COUNTRY CLUB-GARDEN ROOM,90866
,,,ED-CALVARY BAPTIST CHURCH-FELLOWSHIP HALL,90868
,,,ED-MEADOWS PLACE CITY HALL-COUNCIL CHAMBERS,90938
,,,ED-SIMONTON CITY HALL-MEETING ROOM,90871
,,,ED-GALLERY FURNITURE-ATRIUM,90905
,,,"ED-GEORGE MEMORIAL LIBRARY-LARGE MEETING ROOM, 1ST FLOOR",90912
,,,ED-GREATWOOD COMMUNITY REC CTR-BANQUET HALL,90916
,,,ED-HIGHTOWER H. S.-FOYER,90918
,,,ED-LANTERN LANE ELEM.-CAFETERIA,90931
,,,ED-MISSION BEND LIBRARY-MAIN BUILDING,90941
,,,ED-QUAIL VALLEY ELEM.-MAIN BUILDING,90950
,,,ED-BEASLEY CITY HALL-CITY HALL BACK BOARDROOM,90875
,,,ED-BOWIE MIDDLE-WEST ENTRANCE HALL,90878
,,,ED-BRISCOE JR. HI.-LIBRARY,90884
,,,ED-CINCO RANCH BRANCH LIBRARY-MEETING ROOM,90888
,,,ED-BECK JR. HI.-MAIN BUILDING,90876
,,,ED-BECKENDORF JR H. S.-MAIN BUILDING,90877
,,,ED-BRAZOS BEND HOME & RANCH-STORE,90879
,,,ED-CLAYTON OAKS ASSISTED LIVING-ACTIVITY ROOM,90889
,,,ED-EAGLE HEIGHTS CHURCH-FOYER,90896
,,,ED-LAKE OLYMPIA CLUB HOUSE-BALLROOM,90930
,,,ED-QUAIL VALLEY FUND OFFICE-BOARD ROOM,90952
,,,ED-FAIRGROUNDS BLDG D-BUILDING D,90899
,,,ED-OAK LAKE BAPTIST CHURCH-CHURCH SANCTUARY,90947
,,,ED-FIRETHORNE COMMUNITY ASSOCIATION-MAIN ROOM,90901
,,,ED-GREAT OAKS BAPTIST CHURCH-FELLOWSHIP HALL,90914
,,,ED-IMPERIAL PARK RECREATION CENTER-MEETING ROOM,90921
,,,ED-M.R. MASSEY ADMIN. BLDG.-EVENT SPACE,90936
,,,ED-MISSOURI CITY VISITORS CENTER-COMMUNITY CENTER AUDITORIUM,90943
,,,ED-GARCIA MIDDLE-GYM AREA,90909
,,,ED-GEORGE BUSH H. S.-GYM FOYER,90910
,,,ED-HUNTERS GLEN ELEM.-GYM,90920
,,,ED-JACKS CONFERENCE CENTER-MAIN ROOM,90923
,,,ED-JOY LUTHERAN CHURCH-PARISH HALL,90924
,,,ED-KEMPNER H. S.-MAIN BUILDING,90925
,,,ED-COLUMBUS HALL-MEETING ROOM,90927
,,,ED-KROGER RIVERSTONE-COMMUNITY ROOM,90929
,,,ED-MISSOURI CITY PARKS AND REC.-FOYER,90945
,,,ED-MUSEUM OF NATURAL SCIENCE-SNACK BAR,90946
,,,ED-LEXINGTON CREEK ELEM.-GYMNASIUM,90932
,,,ED-LOST CREEK CONFERENCE CENTER-MAIN ROOM,90935
,,,ED-PINNACLE SENIOR CENTER-MULTI-PURPOSE AREA/ROOM,90949
,,,ED-MISSOURI CITY BAPTIST CHURCH-MULTIPURPOSE BUILDING,90942
,,,ED-RIDGE POINT H. S.-MAIN BUILDING,90955
,,,ED-RIVER PARK RECREATION CTR.-REC CENTER,90958
,,,ED-ROSENBERG ANNEX BUILDING-MEETING ROOM,90960
,,,ED-SARTARTIA MIDDLE SCHOOL-FRONT AREA,90967
,,,ED-SUGAR LAKES CLUBHOUSE-CLUBHOUSE,90972
