06/01/2022,Office of the Secretary of State,,,Generated By: 
,State of Texas,,,HARRIS
,Election and Poll Place,,,
Election Date,Election Name,Election ID,Poll Place Name,Poll Place ID
03/01/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,47011,FOUNTAIN OF LIFE CENTER-14083 SOUTH MAIN STREET,97195
,,,THE MET CHURCH STUDENT MINISTRY-12903 JONES ROAD,97199
,,,WEST UNIVERSITY SCOUT HOUSE-6108 EDLOE STREET,91700
,,,FONWOOD ELEMENTARY SCHOOL-9709 MESA DRIVE,91701
,,,SOUTH EARLY COLLEGE HIGH SCHOOL-1930 AIRPORT BOULEVARD,94753
,,,CCISD LEARNER SUPPORT CENTER-2903 FALCON PASS,94768
,,,NORTH BELT ELEMENTARY SCHOOL-8105 EAST NORTH BELT,97260
,,,HUMBLE CITY HALL-114 WEST HIGGINS STREET,94810
,,,FIRST CONGREGATIONAL CHURCH-10840 BEINHORN ROAD,94023
,,,HAMILTON MIDDLE SCHOOL-12330 KLUGE ROAD,92426
,,,HC PUBLIC LIBRARY KINGWOOD BRANCH-4400 BENS VIEW LANE,92432
,,,KUEHNLE ELEMENTARY SCHOOL-5510 WINDING RIDGE DRIVE,92438
,,,NITSCH ELEMENTARY SCHOOL-4702 W MT HOUSTON ROAD,92442
,,,NELDA SULLIVAN MIDDLE SCHOOL-1112 QUEENS ROAD,96483
,,,HOSANNA LUTHERAN CHURCH-16526 ELLA BOULEVARD,94752
,,,GREGORY LINCOLN EDUCATION CENTER-1101 TAFT STREET,94771
,,,HAMPTON INN &AMP; SUITES-KATY-22055 KATY FREEWAY,96486
,,,CROCKETT ELEMENTARY SCHOOL-2112 CROCKETT STREET,91603
,,,TRINITY LUTHERAN CHURCH DOWNTOWN-800 HOUSTON AVENUE,91606
,,,HIRSCH ELEMENTARY SCHOOL-2633 TRAILING VINE ROAD,91610
,,,EASTWOOD PARK COMMUNITY CENTER-5020 HARRISBURG BOULEVARD,91612
,,,SAINT ANDREWS PRESBYTERIAN CHURCH-5308 BUFFALO SPEEDWAY,91615
,,,SHEARN ELEMENTARY SCHOOL-9802 STELLA LINK ROAD,91616
,,,MCDOUGLE ELEMENTARY SCHOOL-10410 KANSACK LANE,92451
,,,EILAND ELEMENTARY SCHOOL-6700 NORTH KLEIN CIRCLE DRIVE,92591
,,,FIRST CHRISTIAN CHURCH-22101 MORTON RANCH ROAD,92505
,,,LONDONDERRY CLUBHOUSE-8331 LONDON WAY DRIVE,92597
,,,SAINT JOHN LUTHERAN CHURCH-15235 SPRING CYPRESS ROAD,92609
,,,JUDSON ROBINSON JUNIOR ELEMENTARY SCHOOL-12425 WOODFOREST BOULEVARD,91671
,,,OSBORNE ELEMENTARY SCHOOL-800 RINGOLD STREET,91692
,,,GALLEGOS ELEMENTARY SCHOOL-7415 HARRISBURG BOULEVARD,91658
,,,SAINT PHILIP NERI CATHOLIC CHURCH-10960 MARTIN LUTHER KING BOULEVARD,91886
,,,GODWIN PARK COMMUNITY CENTER-5101 RUTHERGLENN DRIVE,91941
,,,THOMPSON ELEMENTARY SCHOOL-6121 TIERWESTER STREET,92329
,,,HASSLER ELEMENTARY SCHOOL-9325 LOCHLEA RIDGE DRIVE,92408
,,,GREEN VALLEY ELEMENTARY SCHOOL-13350 WOODFOREST BOULEVARD,92424
,,,POE ELEMENTARY SCHOOL-5100 HAZARD STREET,92480
,,,REES ELEMENTARY SCHOOL-16305 KENSLEY DRIVE,92501
,,,WINDFERN FOREST UTILITY BUILDING-14410 MAUNA LOA LANE,92545
,,,RONNIE TRUITT MIDDLE SCHOOL-6600 ADDICKS SATSUMA ROAD,92546
,,,KOREAN CHRISTIAN CHURCH OF HOUSTON-10410 CLAY ROAD,92611
,,,SPRING BRANCH MIDDLE SCHOOL-1000 PINEY POINT ROAD,91736
,,,ARMANDINA FARIAS EARLY CHILDHOOD CENTER-515 RITTENHOUSE STREET,91760
,,,HOLIDAY INN HOUSTON NRG MED CENTER AREA-8111 KIRBY DRIVE,91768
,,,JEAN HINES CALDWELL ELEMENTARY SCHOOL-5515 WEST OREM DRIVE,91781
,,,PONDEROSA ELEMENTARY SCHOOL-17202 BUTTE CREEK ROAD,91799
,,,BRILL ELEMENTARY SCHOOL-9102 HERTS ROAD,91937
,,,FOREST BEND CIVIC BUILDING-4300 LAURA LEIGH LANE,91938
,,,BRIARMEADOW CLUBHOUSE-3203 FRESHMEADOWS DRIVE,91944
,,,PLATOU COMMUNITY CENTER-11655 CHIMNEY ROCK ROAD,92333
,,,LITTLE YORK VOLUNTEER FIRE STATION 81-10410 AIRLINE DRIVE,92361
,,,PEP MUELLER COUNTY PARK CLUBHOUSE-14750 HENRY ROAD,92363
,,,HOBBY ELEMENTARY SCHOOL-4021 WOODMONT DRIVE,91740
,,,CHURCH OF CHRIST ON BAMMEL ROAD-2700 CYPRESS CREEK PARKWAY,91801
,,,CLARK PARK COMMUNITY CENTER-9718 CLARK ROAD,91755
,,,BERRY ELEMENTARY SCHOOL-2310 BERRY ROAD,91758
,,,KRAHN ELEMENTARY SCHOOL-9502 EDAY DRIVE,91782
,,,RED ELEMENTARY SCHOOL-4520 TONAWANDA DRIVE,91868
,,,RAMONA BANG ELEMENTARY SCHOOL-8900 RIO GRANDE DRIVE,91888
