06/01/2022,Office of the Secretary of State,,,Generated By: 
,State of Texas,,,TARRANT
,Election and Poll Place,,,
Election Date,Election Name,Election ID,Poll Place Name,Poll Place ID
03/01/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,47011,FIRST BAPTIST HURST AT THE TRAILS-GYM,96302
,,,VERNON NEWSOM STADIUM-LOU SPIEGEL COMMUNITY ROOM,96320
,,,CROUCH EVENT CENTER IN BICENTENNIAL PARK-BIG ROOM,96322
,,,JAMES AVENUE SERVICE CENTER-BREAKROOM,94441
,,,TARRANT COUNTY ELECTIONS CENTER-SECOND ENTRANCE TO BUILDING,93863
,,,TARRANT COUNTY COLLEGE NORTHWEST CAMPUS-WFSC 1403 A - LEARNING RESOURCE CENTER,93864
,,,TARRANT COUNTY COLLEGE SOUTH CAMPUS-SSTU FACULTY DINING,93865
,,,GOLDEN TRIANGLE BRANCH LIBRARY-MEETING ROOM,96520
,,,TARRANT COUNTY COLLEGE SOUTHEAST CAMPUS-EMBC 1107 PORTABLE BUILDING,93862
,,,UNIVERSITY OF TEXAS AT ARLINGTON-MAVERICK ACTIVITIES CENTER ENTRANCE,94444
,,,TARRANT COUNTY COLLEGE NORTHEAST CAMPUS-NSTU 1506 GALLEY,93867
,,,"UNT - HEALTH SCIENCE CENTER-MET, 2ND FLOOR MEZZANINE",94448
,,,EULESS FAMILY LIFE SENIOR CENTER-ARTS &AMP; CRAFTS ROOM,92008
,,,CROWLEY ASSEMBLY OF GOD-FELLOWSHIP HALL,92097
,,,"NORTHEAST COURTHOUSE-COMMUNITY ROOMS A, B AND C",92104
,,,TRINITY CHAPEL-SANCTUARY,92105
,,,E.M. DAGGETT ELEMENTARY SCHOOL-GYM,92017
,,,ST. PETER'S ANTIOCHIAN ORTHODOX CHURCH-BOOTH HALL,92099
,,,THE REC OF GRAPEVINE-ACTIVE ADULTS HALLWAY,92040
,,,SOUTHWEST SUB-COURTHOUSE-VOTING &AMP; CONFERENCE ROOM,92079
,,,ATWOOD MCDONALD ELEMENTARY SCHOOL-GYMNASIUM,92094
,,,ST. FRANCIS CATHOLIC CHURCH-PARISH HALL,92151
,,,EAGLE MOUNTAIN FIRE HALL 1-TRAINING ROOM,92317
,,,FIRST BAPTIST CHURCH OF FORT WORTH-EDUCATION BUILDING GYM,92318
,,,JEFFERSON DAVIS 9TH GRADE CENTER-LOBBY,92010
,,,SAGAMORE HILL ELEMENTARY SCHOOL-LIBRARY & COMPUTER LAB,92034
,,,ST. LUKE CUMBERLAND PRESBYTERIAN CHURCH-FAMILY LIFE CENTER / GYM,92101
,,,FIRST BAPTIST CHURCH OF WATAUGA-HALLWAY,92102
,,,CHRIST UNITED METHODIST CHURCH-FELLOWSHIP HALL,92114
,,,EAST REGIONAL LIBRARY-MEETING ROOM,92115
,,,SHEPHERD OF LIFE LUTHERAN CHURCH-LOBBY,92117
,,,WEST ELEMENTARY SCHOOL-LIBRARY,92235
,,,LANDMARK BAPTIST CHURCH-FELLOWSHIP HALL,92236
,,,CITY OF ARLINGTON SOUTH SERVICE CENTER-TRAINING ROOM,92237
,,,GEORGE C. CLARKE ELEMENTARY SCHOOL-GYM,92258
,,,FOREST HILL CIVIC &AMP; CONVENTION CENTER-ROOM 101,92070
,,,CARTER PARK ELEMENTARY SCHOOL-AUDITORIUM,92071
,,,ST. PAUL PRESBYTERIAN CHURCH-FELLOWSHIP HALL,92113
,,,PAT MAY CENTER-BLAIR ROOM,92119
,,,SOUTH EULESS ELEMENTARY SCHOOL-LIBRARY,92133
,,,ATHERTON ELEMENTARY SCHOOL-STEM LAB,92137
,,,TRUETT BOLES JUNIOR HIGH SCHOOL-GYM A,92138
,,,NORTH RICHLAND HILLS PUBLIC LIBRARY-COMMUNITY ROOM,92141
,,,GRACE LUTHERAN CHURCH-FELLOWSHIP HALL,92085
,,,"AZLE ISD INSTRUCTIONAL SUPPORT CENTER-PORTABLE BUILDING, SUITE C",92240
,,,ST. ANDREWS UNITED METHODIST CHURCH-MAIN LOBBY,92243
,,,TRINITY TERRACE-CHISHOLM ROOM,92244
,,,T.A. HOWARD MIDDLE SCHOOL-LIBRARY,92247
,,,DORA E. NICHOLS JUNIOR HIGH SCHOOL-FINE ARTS HALLWAY,92249
,,,WESTWORTH VILLAGE CITY HALL-COMMUNITY ROOM,92275
,,,COUNTRY INN & SUITES-MEETING ROOM,92287
,,,DIAMOND HILL/JARVIS BRANCH LIBRARY-MEETING ROOM,92291
,,,BENBROOK COMMUNITY CENTER-MAIN ROOM,92078
,,,CHRIST CATHEDRAL CHURCH-EVENT CENTER,92019
,,,FORT WORTH EDUCATION ASSOCIATION-CONFERENCE ROOM,92086
,,,MANSFIELD SUB-COURTHOUSE-FIRST FLOOR CONFERENCE ROOM,92143
,,,BEDFORD PUBLIC LIBRARY-NORTH MEETING ROOM,92144
,,,DOVE ELEMENTARY SCHOOL-GYM,92159
,,,FIRST UNITED METHODIST CHURCH OF KELLER-LOBBY,92162
,,,ASIA TIMES SQUARE-HALLWAY,92163
,,,CASA DE ORACION FAMILY CENTER-FELLOWSHIP HALL,92165
,,,JOHN WEBB ELEMENTARY SCHOOL-IN FRONT OF LIBRARY,92166
,,,COVENANT CHURCH-COMMUNITY ROOM,92167
,,,SHERIFF'S OFFICE NORTH PATROL DIVISION-106-COMMUNITY ROOM,92256
,,,W.M. GREEN ELEMENTARY SCHOOL-GYM,92068
,,,TRINITY CUMBERLAND PRESBYTERIAN CHURCH-FELLOWSHIP HALL,92083
,,,SYCAMORE RECREATION CENTER-MULTIPURPOSE ROOM,92022
,,,GRACE TEMPLE SEVENTH-DAY ADVENTIST CHURCH-FELLOWSHIP HALL,92046
,,,SOUTHSIDE COMMUNITY CENTER-HAZEL B ROOM,92014
,,,"ANDREW ""DOC"" SESSION COMMUNITY CENTER-LARGE ACTIVITY ROOM",92003
,,,CENTRAL BIBLE CHURCH - THE CONNECTION-LOBBY,94584
