06/01/2022,Office of the Secretary of State,,,Generated By: 
,State of Texas,,,TRAVIS
,Election and Poll Place,,,
Election Date,Election Name,Election ID,Poll Place Name,Poll Place ID
03/01/2022,2022 MARCH 1ST DEMOCRATIC PRIMARY,47011,AVALON POOL AND AMENITY CENTER-AVALON POOL AND AMENITY CENTER,94364
,,,UT PERRY-CASTANEDA LIBRARY-UT PERRY-CASTANEDA LIBRARY,94387
,,,PACE CAMPUS GYM-PACE CAMPUS GYM,94376
,,,COMMUNITY FIRST! VILLAGE-COMMUNITY FIRST! VILLAGE,94366
,,,YMCA NORTHWEST BRANCH-YMCA NORTHWEST BRANCH,96422
,,,SAWYER HALL-SAWYER HALL,94379
,,,ST JOHN'S LUTHERAN CHURCH-ST JOHN'S LUTHERAN CHURCH,94382
,,,MEXICAN AMERICAN CULTURAL CENTER-MEXICAN AMERICAN CULTURAL CENTER,94372
,,,NORTHWEST HILLS UNITED METHODIST-NEW SWEDEN LUTHERAN,94373
,,,VIRGINIA L BROWN RECREATION CENTER-VIRGINIA L BROWN RECREATION CENTER,94385
,,,CITY OF AUSTIN PLANNING AND DEVELOPMENT CENTER-CITY OF AUSTIN PLANNING AND DEVELOPMENT CEN,96425
,,,HILL COUNTRY MIDDLE SCHOOL-HILL COUNTRY MIDDLE SCHOOL,95020
,,,TEXAS HILLEL FOUNDATION-TEXAS HILLEL FOUNDATION,94383
,,,DAN RUIZ BRANCH LIBRARY-DAN RUIZ BRANCH LIBRARY,93137
,,,ZILKER ELEMENTARY-ZILKER ELEMENTARY,93493
,,,LAKEWAY ACTIVITY CENTER-LAKEWAY ACTIVITY CENTER,93513
,,,VILLAGES OF SHADY HOLLOW AMENITY CENTER-VILLAGES OF SHADY HOLLOW AMENITY CENTER,93519
,,,OAK HILL FIRE DEPT #302-OAK HILL FIRE DEPT #302,93521
,,,LAMAR SENIOR ACTIVITY CENTER-LAMAR SENIOR ACTIVITY CENTER,93523
,,,AUSTIN RECREATION CENTER-AUSTIN RECREATION CENTER,93528
,,,MANOR ISD ADMINISTRATION BUILDING-MANOR ISD ADMINISTRATION BUILDING,92990
,,,CONNALLY HIGH SCHOOL-CONNALLY HIGH SCHOOL,92999
,,,HENDRICKSON HIGH SCHOOL-HENDRICKSON HIGH SCHOOL,93014
,,,BARRINGTON ELEMENTARY-BARRINGTON ELEMENTARY,93086
,,,DITTMAR RECREATION CENTER-DITTMAR RECREATION CENTER,93098
,,,TWIN OAKS BRANCH LIBRARY-TWIN OAKS BRANCH LIBRARY,93129
,,,GOOD SHEPHERD ON THE HILL-GOOD SHEPHERD ON THE HILL,93147
,,,TEXAS OAKS BAPTIST-TEXAS OAKS BAPTIST,93153
,,,OJEDA MIDDLE SCHOOL-OJEDA MIDDLE SCHOOL,93164
,,,ELROY COMMUNITY LIBRARY-ELROY COMMUNITY LIBRARY,93172
,,,OUR SAVIOR LUTHERAN CHURCH-OUR SAVIOR LUTHERAN CHURCH,92997
,,,ODOM ELEMENTARY-ODOM ELEMENTARY,93116
,,,WESTERN HILLS CHURCH OF CHRIST-WESTERN HILLS CHURCH OF CHRIST,93486
,,,TURNER-ROBERTS RECREATION CENTER-TURNER-ROBERTS RECREATION CENTER,93003
,,,EAST NINETEENTH ST MISSIONARY BAPTIST-EAST NINETEENTH ST MISSIONARY BAPTIST,93030
,,,GUS GARCIA RECREATION CENTER-GUS GARCIA RECREATION CENTER,93049
,,,BEDICHEK MIDDLE SCHOOL-BEDICHEK MIDDLE SCHOOL,93110
,,,LANGFORD ELEMENTARY-LANGFORD ELEMENTARY,93113
,,,SOUTH AUSTIN RECREATION CENTER-SOUTH AUSTIN RECREATION CENTER,93142
,,,CHURCH ON CONGRESS AVENUE-CHURCH ON CONGRESS AVENUE,93145
,,,AUSTIN CITY HALL-AUSTIN CITY HALL,93498
,,,TRAVIS COUNTY SHERIFF WEST COMMAND-TRAVIS COUNTY SHERIFF WEST COMMAND,93527
,,,UNITED CHRISTIAN-UNITED CHRISTIAN,93578
,,,BEE CAVE CITY HALL-BEE CAVE CITY HALL,93505
,,,NORTH VILLAGE BRANCH LIBRARY-NORTH VILLAGE BRANCH LIBRARY,93587
,,,COMMUNITY CENTER AT OAK HILL-COMMUNITY CENTER AT OAK HILL,93465
,,,LAURA BUSH COMMUNITY LIBRARY-LAURA BUSH COMMUNITY LIBRARY,93496
,,,CARVER BRANCH LIBRARY-CARVER BRANCH LIBRARY,93018
,,,DEER CREEK ELEMENTARY SCHOOL-DEER CREEK ELEMENTARY SCHOOL,93452
,,,OLD QUARRY BRANCH LIBRARY-OLD QUARRY BRANCH LIBRARY,93606
,,,GIVENS RECREATION CENTER-GIVENS RECREATION CENTER,93023
,,,RIVER PLACE ELEMENTARY-RIVER PLACE ELEMENTARY,93616
,,,YMCA NORTH AUSTIN-YMCA NORTH AUSTIN,93626
,,,O HENRY MIDDLE SCHOOL-O HENRY MIDDLE SCHOOL,93639
,,,CAT MOUNTAIN HOA-CAT MOUNTAIN HOA,93620
,,,HUSTON-TILLOTSON - DAVAGE-DURDEN STUDENT UNION-HUSTON-TILLOTSON - DAVAGE-DURDEN STUDENT UNION,94368
,,,GRANT AME WORSHIP CENTER-GRANT AME WORSHIP CENTER,93575
,,,MCCALLUM HIGH SCHOOL-MCCALLUM HIGH SCHOOL,93613
,,,DISABILITY RIGHTS TEXAS-DISABILITY RIGHTS TEXAS,93634
,,,UT FLAWN ACADEMIC CENTER-UT FLAWN ACADEMIC CENTER,93641
,,,MANCHACA UNITED METHODIST-MANCHACA UNITED METHODIST,94370
,,,MILLENNIUM YOUTH COMPLEX-MILLENNIUM YOUTH COMPLEX,93021
,,,BAILEY MIDDLE SCHOOL-BAILEY MIDDLE SCHOOL,93549
,,,CANYON RIDGE MIDDLE SCHOOL-CANYON RIDGE MIDDLE SCHOOL,93617
,,,PFLUGER HALL AND CONFERENCE CENTER-PFLUGER HALL AND CONFERENCE CENTER,93038
,,,CANTU-PAN AM RECREATION CENTER-CANTU-PAN AM RECREATION CENTER,93123
,,,MEMORIAL UNITED METHODIST-MEMORIAL UNITED METHODIST,93026
,,,COMMUNITY CENTER AT JONESTOWN-COMMUNITY CENTER AT JONESTOWN,93455
,,,GULLETT ELEMENTARY SCHOOL-GULLETT ELEMENTARY SCHOOL,93604
,,,BRIARCLIFF POA COMMUNITY CENTER-BRIARCLIFF POA COMMUNITY CENTER,93542
,,,ST MATTHEW'S EPISCOPAL CHURCH-ST MATTHEW'S EPISCOPAL CHURCH,93592
,,,LOST CREEK LIMITED DISTRICT-LOST CREEK LIMITED DISTRICT,93515
,,,HOWSON BRANCH LIBRARY-HOWSON BRANCH LIBRARY,93584
,,,GARDNER BETTS ANNEX-GARDNER BETTS ANNEX,93135
,,,DAILEY MIDDLE SCHOOL-DAILEY MIDDLE SCHOOL,92987
,,,WILL HAMPTON BRANCH LIBRARY-WILL HAMPTON BRANCH LIBRARY,93470
,,,ROLLINGWOOD MUNICIPAL BUILDING-ROLLINGWOOD MUNICIPAL BUILDING,93544
,,,CONGREGATION BETH ISRAEL-CONGREGATION BETH ISRAEL,93573
,,,JAIME PADRON ELEMENTARY-JAIME PADRON ELEMENTARY,93581
