"COUNTY","POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"ANDERSON","95607","1ST BAPTIST CHURCH-SLOCUM","387"
"ANDERSON","94334","1ST BAPTIST NECHES","248"
"ANDERSON","25633","1ST BAPTIST-ELKHART","577"
"ANDERSON","5342","ANTIOCH BAPTIST CHURCH BOX 15","176"
"ANDERSON","12261","ANTIOCH BAPTIST CHURCH BOX 8","45"
"ANDERSON","16266","CAYUGA HIGH SCHOOL","238"
"ANDERSON","5344","DAV POST","145"
"ANDERSON","5345","FRANKSTON COURTHOUSE ANNEX","667"
"ANDERSON","30986","FREEDOM FELLOWSHIP CHURCH","149"
"ANDERSON","14624","HARMONY BAPTIST CHURCH","122"
"ANDERSON","5349","MONTALBA COMM CENTR","301"
"ANDERSON","32180","NEW FELLOWSHIP","158"
"ANDERSON","95605","PALESTINE CIVIC CENTER","284"
"ANDERSON","14628","PALESTINE HIGH SCHOOL","240"
"ANDERSON","5340","PISD ADMIN OFFICE","238"
"ANDERSON","5350","PISGAH BAPTIST CHURCH","374"
"ANDERSON","97892","SLOCUM VOLUNTEER FIRE DEPT. #2","87"
"ANDERSON","14633","SWANSON HILL","177"
"ANDERSON","5338","TENN COLONY COMM CENTER","376"
"ANDERSON","14638","TUCKER COMM","245"
"ANDERSON","5334","WASHIGNTON EARLY CHILD","101"
"ANDERSON","97893","WESTWOOD BAPTIST CHURCH","367"
"ANDREWS","5352","JAMES ROBERTS CENTER","1596"
"ANGELINA","32902","BETHEL ASSEMBLY OF GOD","454"
"ANGELINA","95223","BRANDON COMMUNITY CENTER","255"
"ANGELINA","30072","BURKE COMMUNITY CENTER","195"
"ANGELINA","5365","CHAMBERS PARK COMMUNITY CENTER","455"
"ANGELINA","24541","COMMUNITY SERVICES MEETING RM 104","410"
"ANGELINA","5360","CROSS ROAD BAPTIST CHURCH","384"
"ANGELINA","30071","DENMAN AVE BAPTIST CHURCH","328"
"ANGELINA","25359","DIBOLL CITY HALL","426"
"ANGELINA","5378","FAIRVIEW BAPTIST CHURCH","395"
"ANGELINA","5376","FELLOWSHIP HALL","274"
"ANGELINA","97326","FELLOWSHIP HALL","296"
"ANGELINA","5390","FELLOWSHIP HALL","236"
"ANGELINA","5380","FIRST ORA MISSIONARY BAPTIST CHURCH","131"
"ANGELINA","5364","FULLER SPRINGS BAPTIST CHURCH","165"
"ANGELINA","5389","HARMONY HILL BAPTIST CHURCH","497"
"ANGELINA","17402","HUNTINGTON CIVIC CENTER","653"
"ANGELINA","30066","LIFE GATE CHURCH GT (GLAD TIDINGS)","152"
"ANGELINA","94114","LIFE POINT CHURCH","285"
"ANGELINA","30068","LUFKIN RESTORATION CENTER","341"
"ANGELINA","30073","LUFKIN SHRINE CLUB","188"
"ANGELINA","5379","O'QUINN BAPTIST CHURCH","519"
"ANGELINA","5353","POLLOK BAPTIST CHURCH","383"
"ANGELINA","5383","SALEM BAPTIST CHURCH","203"
"ANGELINA","30075","SOUTHSIDE BAPTIST CHURCH","203"
"ANGELINA","5366","ST PAUL'S METHODIST CHURCH","338"
"ANGELINA","96586","ST. PATRICK CATHOLIC CHURCH","270"
"ANGELINA","97804","THE OLD BRICK BUILDING","171"
"ANGELINA","5375","WOODLAWN  BAPTIST CHURCH","414"
"ARANSAS","89622","INSIDE","863"
"ARANSAS","5391","INSIDE","349"
"ARANSAS","90180","INSIDE BACK ENTRANCE","1202"
"ARANSAS","91384","LOBBY","268"
"ARCHER","94193","ARCHER COUNTY ACTIVITY BUILDING","313"
"ARCHER","94196","HOLLIDAY COMMUNITY CENTER","422"
"ARCHER","96350","LAKESIDE CITY COMMUNITY CENTER","424"
"ARCHER","94198","MEGARGEL CITY HALL","82"
"ARCHER","94197","SCOTLAND CITY  HALL","194"
"ARCHER","94195","WINDTHORST KNIGHTS OF COLUMBUS HALL","325"
"ARMSTRONG","90216","BASEMENT","112"
"ARMSTRONG","90213","COURTHOUSE LOBBY","165"
"ARMSTRONG","90217","FIRESTATION","66"
"ARMSTRONG","94807","WAYSIDE ACTIVITY BUILDING","10"
"ATASCOSA","89300","115 N MAIN ST  PLEASANTON","732"
"ATASCOSA","90601","BOARD ROOM","115"
"ATASCOSA","13519","GYM","322"
"ATASCOSA","14137","HALL","364"
"ATASCOSA","25215","HALL","307"
"ATASCOSA","5430","LOBBY","291"
"ATASCOSA","33176","LOBBY","173"
"ATASCOSA","25212","LOBBY","834"
"ATASCOSA","94160","LOBBY","234"
"ATASCOSA","89301","LYTLE, TEXAS","580"
"ATASCOSA","5423","ROSSVILLE HISTORICAL COMMUNITY BLDG.","259"
"ATASCOSA","5433","TRINITY BAPTIST CHURCH","537"
"ATASCOSA","5435","VERDI COMMUNITY BUILDING","218"
"AUSTIN","97269","BUILDING C","583"
"AUSTIN","90619","EDUCATION CENTER","347"
"AUSTIN","5449","FELLOWSHIP HALL","184"
"AUSTIN","19811","HALL","469"
"AUSTIN","22908","MEETING","392"
"AUSTIN","89370","MEETING ROOM","328"
"AUSTIN","96830","MEETING ROOM","204"
"AUSTIN","19810","MEETING ROOM","200"
"AUSTIN","94618","ROOM #4","618"
"AUSTIN","97268","SEALY COLUMBUS CLUB HALL","988"
"BAILEY","95215","ARENA","692"
"BANDERA","26959","BUS BARN","402"
"BANDERA","16065","ELECTION ROOM","417"
"BANDERA","32583","ELECTION ROOM","230"
"BANDERA","19904","GED CLASSROOM","375"
"BANDERA","5457","IN THE BAND HALL HALLWAY","290"
"BANDERA","5460","LAKEHILLS CIVIC CENTER","322"
